type	index	image	question	A	B	C	D	answer
lc	41	data/figure/lc/2024-01-11--国金证券-“宏观基本面”系列：温和通胀的微观基础？_page9_图表24居民可支配收入处于修复通道.jpg	假设2023年可支配收入增速继续上升，城镇居民消费性支出会如何变化？	消费性支出增速加快	消费性支出增速减缓	消费性支出保持稳定	消费性支出大幅下降	A
lc	42	data/figure/lc/2023-07-03--中银证券-7月宏观经济展望：数据即将见底，预期仍待修复_page4_图表10二季度居民收入预期下降.jpg	如果未来收入信心指数在2018年后持续上升，当期收入感受指数会如何反应？	同步上升	先上升后下降	保持稳定	持续下降	A
lc	43	data/figure/lc/2023-09-15--中航证券-金融市场分析周报_page9_图4各评级信用利差变动.jpg	假设2021年至2022年期间AAA-AA+利差持续下降，企业融资成本的变化趋势会如何？	企业融资成本上升	企业融资成本下降	企业融资成本保持不变	企业融资成本剧烈波动	B
lc	44	data/figure/lc/2023-12-19--国信证券-货币政策与流动性观察：均衡投放，提升效能_page14_图34上交所回购成交量.jpg	如果2023年货币政策更加宽松，上交所回购成交量的变化趋势会如何？	成交量会显著增加	成交量会显著减少	成交量会保持稳定	成交量会先增后减	A
lc	45	data/figure/lc/2024-07-28--华泰期货-宏观利率图表192：密切关注美联储含“鸽”量_page4_图2实际经济周期和预期经济周期对比.jpg	假设2023年全球经济景气周期回升至2021年的水平，经济预期波动周期会有何反应？	同步回升	继续下降	保持不变	剧烈波动	A
lc	46	data/figure/lc/2024-02-27--国金证券-大类资产周报第19期：海外市场新高背后的“分化”？_page4_no_caption.jpg	假设2015年欧洲央行实施了更激进的量化宽松政策，法国CAC40指数在2016年的走势会如何变化？	加速上涨	维持现状	出现回调	剧烈波动	A
lc	47	data/figure/lc/2023-04-19--中银证券-1季度经济数据点评：产出修复理想、内需尚有空间_page2_图表3三大类投资当月增速均边际收敛.jpg	假设2021年房地产投资增速持续上升，对制造业投资增速有何影响？	制造业投资增速上升	制造业投资增速下降	制造业投资增速保持不变	制造业投资增速波动加剧	A
lc	48	data/figure/lc/2023-10-20--开源证券-兼评9月经济数据：市场与经济背离，博弈落在两个关键时点_page5_图119月挖机开工小时数同比增速mathbf97.jpg	假设2022年9月挖掘机销量同比增速持续上升，国证价值指数的走势会有何不同？	国证价值指数会下降	国证价值指数会上升	国证价值指数会保持不变	国证价值指数会剧烈波动	B
lc	49	data/figure/lc/2023-07-05--一德期货-2023年宏观经济半年报：复苏饱经磨砺，秋减收冬可暖_page6_图24主要制造业投资累计同比增长率.jpg	假设2021年通用设备行业的投资累计同比增长率保持在20%以上，对整个制造业有何影响？	整体制造业投资增速加快	整体制造业投资增速减缓	整体制造业投资波动加剧	整体制造业投资保持不变	A
lc	50	data/figure/lc/2024-06-04--国金证券-大类资产月报第13期：6月展望，“预期”或将起变化？_page21_图表70工资上涨向医院服务价格传导.jpg	假设2018年EC工资上涨趋势持续到2020年，CPI医疗服务业的走势会有何不同？	CPI医疗服务业会上升	CPI医疗服务业会下降	CPI医疗服务业会保持不变	CPI医疗服务业会剧烈波动	A
lc	51	data/figure/lc/2023-07-18--浙商期货-【宏观周报】国内物价仍然低迷，美国通胀持续回落_page4_no_caption.jpg	假设2022年4月的PMI原材料库存指数持续上升，对PMI从业人员指数有何影响？	PMI从业人员指数会上升	PMI从业人员指数会下降	PMI从业人员指数会保持不变	PMI从业人员指数会剧烈波动	A
lc	52	data/figure/lc/2024-06-03--平安证券-中国经济高频观察（5月第5周）：专项债发行待提速_page5_no_caption.jpg	假设2023年苯乙烯开工率与2022年持平，这将对2024年的开工率产生什么影响？	大幅上升	小幅下降	保持不变	显著下降	C
lc	53	data/figure/lc/2024-07-30--天风证券-海外与大类周报：美股小盘风格能否延续强势_page5_图14港股风险控制策略尚未发出看多信号.jpg	假设2024年累积超额收益持续增加，风险控制策略会如何调整？	风险控制策略会更加严格	风险控制策略会放松	风险控制策略会保持不变	风险控制策略会转向激进	A
lc	54	data/figure/lc/2024-07-03--联储证券-2024年中宏观展望：固本培元，如日之升_page22_no_caption.jpg	假设2022年企业单位中长期贷款增速突然大幅上升，国证价值指数会如何反应？	国证价值指数会迅速上升	国证价值指数会缓慢上升	国证价值指数会保持不变	国证价值指数会下降	A
lc	55	data/figure/lc/2024-03-10--民生证券-高频数据跟踪周报：本周石油沥青装置开工率续升_page9_图2422633全国电影票房收入下降万元.jpg	假设2023年的票房收入在所有月份都保持稳定，整体趋势会有何变化？	整体趋势会上升	整体趋势会下降	整体趋势会保持不变	整体趋势会剧烈波动	C
lc	56	data/figure/lc/2024-07-10--开源证券-宏观经济点评：消费增长延续以价换量_page2_图22024年6月食品CPI环比降幅扩大.jpg	假设2024年鲜菜价格的环比增幅显著下降，对整体食品CPI的影响会如何？	整体食品CPI增幅扩大	整体食品CPI增幅缩小	整体食品CPI保持不变	整体食品CPI剧烈波动	B
lc	57	data/figure/lc/2024-01-23--首创证券-2023年4季度经济数据点评：目标实现，动能不强_page7_图12房地产销售竣工新开工四年平均同比.jpg	假设2021年房屋竣工面积的四年平均同比增速持续上升，对房屋新开工面积的影响是什么？	房屋新开工面积会大幅增加	房屋新开工面积会小幅减少	房屋新开工面积会保持不变	房屋新开工面积会先增后减	A
lc	58	data/figure/lc/2024-01-25--海通国际-全球能源转型：越南新能源深度探究；越南绿色革命的机遇_page22_no_caption.jpg	假设2022年和2023年的库存水平趋势保持一致，2024年的库存水平会如何变化？	继续上升	趋于平稳	显著下降	剧烈波动	B
lc	59	data/figure/lc/2024-03-17--东海证券-宏观周报：设备更新和消费品以旧换新扩内需，股市新政稳市场_page14_no_caption.jpg	如果2023年的消费刺激政策力度更大，企业单位中长期贷款增速会有何不同？	企业单位中长期贷款增速会上升	企业单位中长期贷款增速会下降	企业单位中长期贷款增速会保持不变	企业单位中长期贷款增速会剧烈波动	A
lc	60	data/figure/lc/2023-07-28--东兴证券-美联储7月FOMC点评：美联储保留进一步加息空间_page4_图16企业部门杠杆高位疫情期间除外.jpg	假设2019-2020年疫情期间美国非金融企业负债总额没有大幅波动，那么这会对后续几年的负债总额趋势产生什么影响？	负债总额会迅速下降	负债总额会保持稳定	负债总额会在2021年后逐渐上升	负债总额会在2021年后急剧上升	B
lc	61	data/figure/lc/2024-07-11--万联证券-6月通胀数据点评：CPI延续低位，需求有待修复_page6_图表15M1回落政策挤水分带来一定影响.jpg	假设2023年政策进一步收紧，M1同比增速大幅下降，对PPI的影响可能是？	PPI会显著下降	PPI会小幅上升	PPI会保持不变	PPI会先降后升	A
lc	62	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page2_图1唐山高炉开工率环比下降.jpg	假设2024年唐山高炉开工率继续保持在高位，对房地产市场的影响会是什么？	房地产市场将显著回暖	房地产市场将继续低迷	房地产市场波动加剧	房地产市场保持稳定	A
lc	63	data/figure/lc/2024-07-11--中泰证券-6月通胀数据点评：通胀不及预期，后续怎么看？_page2_图表26月份CPI食品环比增速转负.jpg	假设2023年CPI食品环比增速在下半年持续低于均值，这将对整体通胀水平产生什么影响？	显著降低	略有降低	基本不变	显著升高	A
lc	64	data/figure/lc/2023-08-01--浦银国际证券-月度宏观洞察：政治局会议后看下半年经济形势，美国向软着陆继续迈进_page2_图表1实际GDP环比增速从一季度的mathbf22下滑至二季度的mathbf08.jpg	假设2021年实际GDP环比增速持续上升，实际GDP增速会有何影响？	实际GDP增速会上升	实际GDP增速会下降	实际GDP增速会保持不变	实际GDP增速会剧烈波动	A
lc	65	data/figure/lc/2023-12-04--中国银河-热点与高频：部分经济数据可能短期回落_page3_图2离岸人民币与美元指数.jpg	假设2020年美元指数没有出现显著下降，离岸人民币对美元汇率会如何变化？	保持稳定	继续上升	大幅下跌	波动加剧	A
lc	66	data/figure/lc/2023-05-25--招商银行-2023年4月进出口数据点评：出口动能温和放缓_page3_图2出口金额超季节性下行.jpg	假设2021年的出口金额在全年保持稳定增长，企业单位中长期贷款增速会如何变化？	企业单位中长期贷款增速会上升	企业单位中长期贷款增速会下降	企业单位中长期贷款增速会保持不变	企业单位中长期贷款增速会剧烈波动	A
lc	67	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page6_图4美欧日央行资产规模.jpg	如果欧洲央行在2016年没有采取量化宽松政策，欧元区经济复苏速度会有何变化？	加快复苏	放缓复苏	维持现状	陷入衰退	B
lc	68	data/figure/lc/2023-12-28--国金证券-2023年11月工业企业利润点评：利润率大幅反弹_page3_no_caption.jpg	假设2022年六大发电集团的日均耗煤量与2021年持平，对整体能源市场的影响可能是？	煤炭价格大幅上涨	电力供应更加稳定	新能源发展速度加快	环保政策执行力度减弱	B
lc	69	data/figure/lc/2024-08-23--华金证券-华金宏观·双循环周报（第72期）：联储纪要放鸽导致美元闪崩，前瞻还是滞后？_page11_图20发达经济体核心CPI同比.jpg	假设2022年英国的核心CPI增速持续上升，这将对日本的核心CPI产生什么影响？	日本核心CPI增速会上升	日本核心CPI增速会下降	日本核心CPI增速会保持不变	日本核心CPI增速会剧烈波动	A
lc	70	data/figure/lc/2023-05-18--中银证券-3月美国国际资本流动报告点评：全球“美元荒”缓解，国际资本风向正在起变化_page1_图表2吴夏影子利率和国际资本流动净额.jpg	假设2014年后的利率持续上升，对国际资本流动净额的影响可能是？	净额增加	净额减少	净额保持不变	净额剧烈波动	B
lc	71	data/figure/lc/2024-05-27--中国银河-金融高频数据周报：证券投资转为净流入_page6_图281年期FR007利率与10年国债收益率利差上行至45BP.jpg	假设2024年FR007利率大幅上升，对中债国债到期收益率的影响可能是？	中债国债到期收益率上升	中债国债到期收益率下降	中债国债到期收益率保持不变	中债国债到期收益率波动加剧	A
lc	72	data/figure/lc/2023-11-24--开源证券-宏观深度报告：2024年宏观经济展望-破浪前行_page50_图96近期人民币汇率基本稳定.jpg	如果2023年第三季度美元指数持续走低，USDCNH即期汇率会如何变化？	USDCNH即期汇率上升	USDCNH即期汇率下降	USDCNH即期汇率保持稳定	USDCNH即期汇率剧烈波动	B
lc	73	data/figure/lc/2024-07-16--华泰期货-中国2024年上半年经济数据图景：形有波动、势仍向好_page5_图96月生产资料PPI同比mathbf08丨单位YOY.jpg	假设2023年底加工行业PPI同比增速大幅上升，2024年的工业利润会有何影响？	工业利润会显著增加	工业利润会略有下降	工业利润会保持平稳	工业利润会大幅下降	A
lc	74	data/figure/lc/2024-03-31--东海证券-宏观周观点：货币政策会超预期吗？_page7_图9国内国际航班执飞架次架次.jpg	假设2024年初国内航班执行架次继续保持稳定，对航空公司的运营成本有何影响？	运营成本大幅上升	运营成本小幅下降	运营成本保持不变	运营成本大幅下降	C
lc	75	data/figure/lc/2023-12-19--国泰期货-2024年海外宏观经济展望：先下行风险，后周期机遇，寻均衡利率_page27_图95中国周期筑底回升也将支持非美货币表现.jpg	如果2018年澳元（R1）的汇率没有大幅下跌，中国信贷脉冲的趋势会如何变化？	继续下降	趋于平稳	显著上升	剧烈波动	B
lc	76	data/figure/lc/2024-02-23--中银证券-12月美国国际资本流动报告点评：全球美元荒缓解，美国股债均受外资青睐_page8_图表18私人外资滚动12个月累计买入美债vs套息交易拟合不考虑外汇对冲.jpg	假设2020年没有新冠疫情的影响，套息交易拟合值是否会显著增加？	显著增加	小幅增加	保持不变	显著减少	A
lc	77	data/figure/lc/2023-09-21--国信证券-高技术制造业宏观周报：国信周频高技术制造业扩散指数继续保持扩张_page0_市场走势.jpg	假设2023年第二季度CPI持续上升，对PPI的影响会是怎样的？	PPI也会随之上升	PPI会保持不变	PPI会有所下降	PPI会出现剧烈波动	A
lc	78	data/figure/lc/2023-10-30--国金证券-海外周度观察：美联储叙事的转变：从higher到longer_page8_图表20美国通胀走势.jpg	假设2023年PCE指数持续下降，对整体通胀趋势的影响可能是？	整体通胀将显著降低	整体通胀将保持稳定	整体通胀将小幅上升	整体通胀将剧烈波动	A
lc	79	data/figure/lc/2023-12-22--一德期货-2024年宏观经济年报：温和改善再平衡，欲流远先浚泉源_page17_图413欧元区PMI.jpg	假设2023年德国PMI在第一季度没有达到峰值，对经济复苏有何影响？	经济复苏加速	经济复苏放缓	经济复苏保持不变	经济复苏剧烈波动	B
lc	80	data/figure/lc/2023-10-18--太平洋-流动性周报（10月第2周）：内外资加仓汽车、电子和通信_page3_图表110月9日10月13日北上资金合计净流出13144亿元.jpg	假设2023年全年上证综合指数持续上涨，北上资金的净流入趋势会有何变化？	净流入增加	净流入减少	净流入保持不变	净流入剧烈波动	A
lc	81	data/figure/lc/2024-07-11--万联证券-6月通胀数据点评：CPI延续低位，需求有待修复_page5_图表11CRB指数同比回落PPI小幅回升.jpg	假设2023年CRB现货指数持续上升，对PPI的影响可能是？	PPI会随之上升	PPI会保持不变	PPI会下降	PPI会先上升后下降	A
lc	82	data/figure/lc/2023-04-10--平安证券-美国3月非农就业数据解读：美联储会停止加息么？_page3_图表74月7日美债收益率上升.jpg	如果2023年3月非农就业数据远超预期，对10年期和2年期美债利率的影响可能是？	两者都上升	两者都下降	10年期上升，2年期下降	10年期下降，2年期上升	A
lc	83	data/figure/lc/2024-09-03--山西证券-海外经济周观察_page4_图624Q2实际个人消费支出环比折年率上升.jpg	假设2023年实际个人消费环比折年率持续上升，预测值的走势会有何影响？	预测值会下降	预测值会上升	预测值会保持不变	预测值会剧烈波动	B
lc	84	data/figure/lc/2023-11-02--国联证券-高频数据跟踪（2023年10月第4周）：需求表现分化，基建施工景气略有改善_page5_国内航班出行量小幅回升架次.jpg	假设2023年国内航班出行量在春季大幅下降，这可能反映出什么样的市场需求变化？	市场需求明显增加	市场需求明显减少	市场需求保持稳定	市场需求出现季节性波动	B
lc	85	data/figure/lc/2024-09-05--开源证券-宏观经济专题：有效跟踪出口的方法探索_page8_图172022年后新出口订单PMI波动性显著增强.jpg	假设2020年第一季度新出口订单PMI没有出现明显波动，中国出口金额同比会如何反应？	大幅上升	小幅上升	保持不变	显著下降	C
lc	86	data/figure/lc/2024-05-14--一德期货-宏观策略周报_page8_图28国内猪肉果蔬日均价元公斤.jpg	假设2024年初猪肉价格持续上涨，对蔬菜和水果价格的影响可能是？	蔬菜和水果价格同步上涨	蔬菜和水果价格不受影响	蔬菜和水果价格小幅下降	蔬菜和水果价格大幅下降	A
lc	87	data/figure/lc/2024-01-01--华金证券-PMI点评：用什么政策才能推升PMI？_page1_图1制造业PMI较荣枯线之差与贡献结构.jpg	假设2022年生产指数持续上升，对制造业PMI的影响是什么？	制造业PMI会显著上升	制造业PMI会略有下降	制造业PMI会保持稳定	制造业PMI会大幅波动	A
lc	88	data/figure/lc/2024-07-04--上海证券-海外市场跟踪：美国PCE下降，通胀仍显韧性_page2_图2美国三大股指走势.jpg	如果2024年美国PCE下降幅度更大，道琼斯指数的走势会如何变化？	继续上升	大幅下跌	保持平稳	先跌后升	B
lc	89	data/figure/lc/2024-01-09--正信期货-大类资产每周观察_page12_百度百城交通拥堵延时指数周平均.jpg	假设2021年7月的交通拥堵延时指数与2020年同期相比大幅上升，这可能对后续几个月的指数趋势产生什么影响？	指数会迅速回落	指数会持续上升	指数会保持稳定	指数会出现波动	B
lc	90	data/figure/lc/2023-10-06--招银国际-美国经济：服务业保持扩张，制造业超预期回升_page2_图7物价指数与CPI增速.jpg	假设2018年ISM制造业物价指数持续下降，对CPI增速有何影响？	CPI增速会上升	CPI增速会下降	CPI增速会保持不变	CPI增速会剧烈波动	B
