type	index	image	question	background_story	A	B	C	D	answer
lc	11	data/figure/lc/2023-11-06--联储证券-9月经济数据解读：固定资产稳健增长，增量政策蓄力待发_page12_no_caption.jpg	哪个行业在2022年1月至2022年3月期间增长最快？	"在金融科技迅速发展的背景下，联储证券高度重视技术创新，未来将通过强化数字化建设来提高服务效率和客户体验。金融科技的结合，将为客户提供更加便捷、个性化的金融服务。
以数据驱动业务决策，利用大数据分析客户需求，以及落实人工智能技术以提升效率，都是联储证券在金融科技领域的具体实践。随着金融服务全流程的数字化，客户体验的提升将为其吸引更多忠实客户奠定基础。
在追求经济效益的同时，企业文化的建设与社会责任的履行是联储证券不容忽视的重要任务。在新的一年里，联储证券将继续将文化理念与道德规范融入工作各个环节，推动全员的价值观和行为规范的高度统一。只有文化的深厚积淀，才能推动业务的持续发展。
此外，联储证券始终秉持“金融为民”的初心，积极参与社会公益事业，回馈社会，为构建和谐的金融环境贡献力量。在金融服务与社会责任之间建立良性循环，将是联储证券在2024年及以后的发展目标。"	交通运输、仓储和邮政业	道路运输业	铁路运输业	水路运输业	A
lc	12	data/figure/lc/2023-07-31--中邮证券-宏观研究：装备制造业盈利占优，消费需求温和复苏_page5_图表5装备制造业相关行业盈利领先.jpg	铁路、船舶、航空航天和其他运输设备制造业在哪段时间内的累计同比增速波动最大？	三季度经济数据公布，经济持续恢复向好高质量发展稳步推进。具体来看，体现出以下三个特征：第一，支出端消费贡献提升。第二，生产端平稳扩张。第三，国企生产加速扩张，民营企业经营改善。四季度居民收入有望跟随经济恢复继续提升，进而支撑居民消费，同时房地产市场局部改善有望在更大区域扩展，另外，因去年受外部冲击影响GDP增长2.9%，基数相对较低。经济改善有望持续。而通胀水平的抬升亦有望助推经济名义增速的提高，进而改善企业盈利。鉴于经济在三季度实现超预期增长，我们认为此阶段逆周期政策进一步加码的必要性相对降低，后续重点在已出政策持续落实。	2021-10至2022-02	2022-02至2022-05	2022-05至2022-08	2022-08至2023-03	D
lc	13	data/figure/lc/2023-05-10--华泰期货-物流看世界_page33_上海出口集装箱结算运价指数点.jpg	哪条航线在2022年6月后下降趋势最为明显？	"截至2024年9月23日，集运期货所有合约持仓99955 手，较前一日增加5264手，单日成交115557 手，较前一日增加58186手。EC2502合约日度上涨8.20%，EC2504合约日度上涨12.20%，EC2506合约日度上涨14.95%，EC2410合约日度上涨1.62%，EC2412合约日度上涨6.45%（注：均以前一日收盘价进行核算）。9月20日公布的SCFI（上海-欧洲航线）周度下跌8.76%至2592 $/TEU, SCFI（上海-美西航线）下跌2.78%至5341 $/FEU。9月23日公布的SCFIS收于3285.46 点，周度环比下跌13.86%。
集装箱船舶绕行现状继续维持。集装箱船舶绕行结构继续维持。经过苏伊士运河、曼德海峡以及到达亚丁湾的集装箱船舶数量仍处阶段低位， 9月21号通过苏伊士运河的集装箱船舶仅4艘（7日平均），日度经过集装箱船舶数量约1.41万TEU左右；到达亚丁湾集装箱船舶数量（7日平均）约为6.71艘，日度经过集装箱船舶数量约1.78万TEU左右。因集装箱船舶改道，通行好望角集装箱船舶数量大幅增加，7日平均通过数量约为19.57艘，前期日度通过中枢约在6-7艘之间。
截至2024年9月21日，共计交付集装箱船舶371艘，其中12000+TEU共计82艘。合计交付集装箱船舶运力223.63万TEU，其中12000+TEU船舶共计交付130.09万TEU。9月份共计交付12000-16999TEU船舶1艘，合计15254EU；共计交付17000+TEU船舶1艘，运力合计24000TEU。"	中国/东亚-北美西海岸	北美西海岸-中国/东亚	中国/东亚-北美东海岸	北美东海岸-中国/东亚	A
lc	14	data/figure/lc/2024-03-07--中国银河-对美出口转正拉动外贸超预期_page2_图21月亚洲产业链国家出口大幅改善.jpg	在2024年2月，哪个国家的出口增速下降幅度最大？	"为进一步深度布局东南亚，锚定投资中国新机遇，4月18日，中国银河证券在新加坡举行品牌重塑活动，“银河海外（CGS International）”品牌正式亮相。这标志着中国银河的国际化之旅从合资时代步入100%控股的中资券商时代。
据悉，银河海外在亚洲已拥有45年历史，在新的管理架构下，中国银河大力支持银河海外开展高质量、多元化、本土化经营，推动境内外业务协同发展，开展品牌建设和文化融合，并对东南亚地区业务全方位赋能，深化客户共享和拓展、产品创新和联动。
“亚洲要有自己自主的金融生态圈，这就是中资券商开启亚洲新时代的核心主题。我们期待随着银河海外品牌发布，中国银河通过境内外一个‘银河’的协同合力，进一步支持中国与东盟国家之间的经贸合作和跨境投融资需求，助力更多东南亚企业把握中国与东盟合作的机遇发展壮大，支持更多中国企业走向海外，与东南亚合作伙伴结成更为紧密的合作关系。”中国银河总裁薛军说。"	韩国	日本	新加坡	越南	D
lc	15	data/figure/lc/2023-12-17--中国银河-2024年中国经济展望：《变局·重构》_page13_图19地产周期和康波周期示意图.jpg	图中哪个周期的波动幅度更大？	1月7日，中国银河证券2025年度策略会在深圳举办，会议以“大重构 大变革”为主题。中国银河证券党委副书记、总裁薛军在致辞中表示，在过去的一年里，市场见证了科技创新迅猛发展、全球产业链深刻调整以及国际政治经济格局重大变化。当前，全球经济处于重构和变革之中，在重构中构建更加稳健和可持续的发展模式，在变革中寻找新的经济增长点和投资机会，将是市场各方在2025年重点探讨的话题。 对于2025年市场展望，中国银河证券表示，我国经济政策的底层逻辑已经重构，资本市场迎来了难得的发展机遇。2025年，一方面通过实施更大力度的逆周期政策，对冲新旧动能转换的阵痛，以进促稳，改善预期；另一方面，推动标志性改革落地见效，以改革促发展，进一步提振预期	地产周期	康波周期	金融周期	产业周期	A
hg	16	data/figure/hg/2023-06-02--粤开证券-【粤开宏观】从财税视角看海南：“热带宝地”的财政债务形势_page7_图表52020年海南省创造的税收收入来源分行业对比.jpg	根据直方图，哪个行业在2020年海南省创造的税收收入中占比最高？	在当前百年未有之变局、我国加快构建新发展格局和房地产下行压力加大的背景下，海南经济与财政面临一定挑战。一方面，逆全球化和全球贸易摩擦或影响海南外向型经济发展。海南是著名的侨乡，侨胞众多。近年来海南持续推进自由贸易港建设，进一步吸引了外商资金涌入。2020年，海南省外商投资企业（含港澳台）创造税收收入占比达到22.7%，在全国31省份中排第4名，远高于全国平均水平的16.1%。另一方面，房地产进入下行期或冲击海南部分地市可支配财力。作为国内休闲度假首选地之一，海南过去吸引了大量居民赴琼度假和购置房产。2020年海南房地产业贡献了海南省创造税收的33.6%，高出全国平均18.5个百分点，位居全国第一。	房地产业	制造业	批发和零售业	建筑业	A
hg	17	data/figure/hg/2023-08-22--国金证券-“重估中国”系列报告：1990年代末的转型，对当下有何启示？_page5_no_caption.jpg	从图中可以看出，城镇非私营单位就业人员数在哪一年达到最低点？	"县域人口占全国比例过半、县域社零占比达46.3%，是全国消费的基石市场。随着农村人口不断向县城迁移，“以县城为中心、以城带乡”的县域消费格局加快构建。近年来，县域消费更具“活力”，农村居民消费支出与消费倾向表现均好于城镇；县域消费对于当地经济意义也在强化，第三产业占GDP比重升至44.8%。

县域消费不再拘泥于生活必需品，品类需求更加多元。2019-2021年，衣服消毒机、烘焙套装、空气炸锅等新型小家电，绘画摄影、玩具乐器等休闲娱乐商品迅速在县域普及，销售额年均增速处在100-324%区间。县域中青年的多元化消费特征更加突出，每月用于社交与自我提升等支出比重高达40%。

县域生活服务类消费需求明显增多，个性化、悦己型消费趋势明显。2019-2023年前三季度，县域居民生活服务消费订单占全国比重累计提升6.8个百分点至30.6%；其中美业、本地门票等服务订单增长更快，年均增速超40%。县域消费还由“重产品”向“重品牌”转变，近年来茶百道、海底捞等品牌餐饮门店数在五线及以下城市中快速增长



作者：国金证券研究所
链接：https://xueqiu.com/8364818819/282724258
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。"	2003年	2004年	2005年	2006年	A
hg	18	data/figure/hg/2023-08-29--国金证券-海外周度观察：拜登“宽财政”还能持续吗？_page8_图表20芯片法案投资税收抵免支出仍将上升.jpg	从2023年到2027年，投资税收抵免支出的总和大约是多少亿美元？	国金证券表示，一是显著“宽货币”，尤其是存量贷款利率下调，将有望修复居民资产负债表，推动信用预期回升，促“市场底”浮现；二是政治局会议提出5000亿互换、3000亿回购将针对股市注入更多流动性，对股市上涨提供更强动力；三是“宽财政”信号明确，且发债空间大、节奏或将加快。我们判断：显著“宽货币+宽财政”均作用在居民、企业及地方政府的“负债端”，通过弥补负债缺口、降低负债压力，促使相关部门资产负债表改善，从而为未来轻装上阵、促消费、投资及激活国内经济作充分准备— —这意味着“控风险”是当前第一阶段的首要任务，将对应估值筑底，即“市场底”夯实。我们预计未来一个季度国内宏观、中观到微观层面均有望迎来边际改善，故维持对本轮“反弹”行情偏乐观的态度，建议逢低配置“科技>消费”方向。同时，考虑到海外风险犹在，未来市场能否更加持续走出“反转”仍依赖于“盈利底”出现。倘若后续财政发力的结构上可以更多聚焦在投资、促薪资和就业等“资产端”，预计国内企业“盈利底”将有望前置，届时，更长的趋势性“反转”行情将由此开启。	180	200	220	240	C
hg	19	data/figure/hg/2024-07-14--国信证券-进出口数据快评：出口暖意延续_page1_图3主要发达国家制造业景气度.jpg	哪个月份的制造业景气度普遍较低？	"今年以来，外贸出口平稳开局，1-4月进出口总额同比增长5.8%，其中出口同比增长10.6%。其中跨境电商业态凭借精简流通环节、降低国际贸易门槛及供应链效率高的优势而得到快速发展。在当前国际间运费价格下降，供应链扰动因素缓和等多因素驱动下，跨境电商企业基本面持续企稳向好。而未来“一带一路”政策机遇及AI技术赋能也将为行业注入新增长动力。
一带一路贸易提供机遇，政策加码促跨境电商发展
中国对“一带一路”沿线国家进出口向好，占我国外贸整体的比重从2013年的25%提升到2022年的32.9%，2023年Q1对“一带一路”沿线国家进出口同比增长16.8%，展现出区域较强的经济贸易活力，同时沿线相关电商产业配套设施逐步完善。在此基础上，政策面通过积极发展“跨境电商+产业带”模式，出台针对性的跨境电商支持政策，将带动相关企业实现突破式发展。
AI赋能跨境出海，行业数智化进程加速
生成式AI应用与跨境电商行业的发展要素形成了有效契合。一方面，对于跨境电商B2C企业而言，将有助于企业实现优化流程和精准营销下的降本增效;另一方面，对于B2B平台型企业而言，提供AI工具包服务亦可以实现业务扩收增利。目前来看，国内跨境电商企业积极开启AI技术应用的探索，主要方向包括语言翻译、推荐系统、货物检测、自动化客服、营销策略方案及产品分析等多方面。"	2024-03	2024-04	2024-05	2024-06	B
hg	20	data/figure/hg/2024-02-25--粤开证券-【粤开宏观】1998-2023年中国各省份土地出让收入排名变迁_page6_图表32008年各省直辖市自治区土地出让收入情况.jpg	土地出让收入低于300亿元的省份有几个？	"90年代房地产市场化改革以及快速推进的城镇化进程，产生大量的住房需求，带动房地产市场快速发展，房地产相关税收、土地出让收入持续高增。“土地财政”历经二十余年发展，已成为地方政府财政收入的重要来源。

但是近年来，伴随房地产供需形势逆转，商品房市场低迷持续冲击土地市场，叠加居民购房信心不足、房地产企业现金流偏差、民营企业拿地意愿不高，直接影响了地方政府的土地出让收入，进一步加剧了地方财政紧张。2023年全国土地出让收入57996亿元，同比下降13.2%，连续两年下降，冲击地方可用财力，并引发市场关注。本文梳理了1998-2023年分省份土地出让收入排名变化特征，并进一步探讨土地财政未来向何处去。（可参考前期报告《澄清土地财政的五个认知误区》《土地市场降温，土地财政向何处去？》《分税制不是土地财政的原因，政绩考核才是》《何为股权财政？能否接替土地财政？》）

从收入规模看，2023年土地出让收入排名前十的省份依次为：江苏（9482亿元）、浙江（6470亿元）、山东（4156亿元）、四川（3952亿元）、广东（3818亿元）、上海（3197亿元）、湖北（2307亿元）、湖南（2283亿元）、安徽（2085亿元）、北京（1947亿元）。从收入增速来看，已公布数据的28个省份中，22个省份2023年土地出让收入陷入负增长。东南沿海经济大省土地市场下行压力增加，福建（-23.0%）、浙江（-22.4%）、广东（-18.2%）、上海（-15.9%）、江苏（-11.3%）土地出让收入同比跌幅较大。东部地区10省市2023年土地出让收入合计同比下降15.4%，但其总量达33831亿元，仍占全国土地出让收入的58.3%，土地出让收入集中在东部地区的格局没有改变。"	4	5	6	7	C
