type	index	image	question	A	B	C	D	answer
hg	18	data/figure/hg/2023-01-29--东吴证券-宏观点评：中国资产定价了多少“放开后的复苏”？_page2_图12023年以来中国权益资产成为市场追捧的香饽饽.png	从年初至今，哪个指数的增长幅度最大？	恒生科技	恒生指数	纳斯达克	无法判断	A
hg	19	data/figure/hg/2023-03-10--东吴证券-宏观点评：2月非农预示加息结局_page3_图7教育及卫生健康服务用工需求高.png	从2022年12月到2023年1月，哪个行业的职位空缺率下降最多？	制造业	建筑业	私人总计	无法判断	B
hg	20	data/figure/hg/2024-08-07--麦高证券-宏观经济高频数据周报：海外经济不及预期_page7_图表6美股指数下跌.png	哪只指数在2024年8月1日的收盘价最高？	纳斯达克综合指数	标准普尔500指数	道琼斯工业平均指数	无法判断	C
pg	21	data/figure/pg/2023-12-19--证券-国泰君安-公司季报点评：自营表现较为稳健，归母净利润+2.4%_page1_图1国泰君安2023年前三季度收入结构.png	如果自营和经纪业务合并，其市场占有率将达到多少？	0.46	38%	无法判断	0.48	D
pg	22	data/figure/pg/2022-11-18--家电行业-恒太照明-北交所新股研究简报：深耕LED照明领域，工矿灯出口冠军_page11_图表202020年中国LED照明市场份额.png	根据图中数据，以下哪项描述最符合2020年中国LED照明市场份额的结构？	民用照明占比最高，其次是商用照明。	景观照明占比最高，其次是交通照明。	商用照明占比最高，其次是民用照明。	无法判断	A
pg	23	data/figure/pg/2022-11-21--航运港口-招商南油-中国出口提振市场，“东油西运”趋势不变_page9_图15欧洲成品油进口情况百万吨.png	根据图中数据，俄罗斯的成品油进口量占欧洲总进口量的比例是多少？	38.4%	24.2%	16.4%	无法判断	A
pg	24	data/figure/pg/2022-10-10--医疗器械-乐普医疗-国产心血管平台型企业，创新产品布局加速_page9_图表132018年国内起搏器产品竞争格局.png	根据图中的市场份额占比情况，美敦力与雅培的市场份额差距是多少百分点？	29个百分点	14个百分点	34个百分点	无法判断	B
pg	25	data/figure/pg/2023-07-13--专用设备-日联科技-工业X射线检测装备国内龙头，突破射线源加速成长_page9_图6日联科技2022年检测设备收入占比86.png	电子制造及集成电路检测设备的收入占比是多少？	43.3%	27.0%	15.4%	无法判断	A
pg	26	data/figure/pg/2022-10-19--中药-康缘药业-公司首次覆盖报告：创新引领发展，注射焕发生机，基药驱动新增长_page15_图16桂枝茯苓胶囊主要在三级医院销售基层有较大扩展空间.png	如果三级医院的市场份额增长10%，其新的市场份额将变为多少？	0.7309	53.09%	无法判断	0.6309	D
pg	27	data/figure/pg/2023-12-26--电子化学品-广钢气体-国内电子大宗气体龙头，发力布局电子特气业务_page32_图35集成电路制造领域公司中标产能内资第一20182022M9.png	如果广钢气体的市场份额增加5个百分点，其新份额是多少？	0.462	36.20%	无法判断	0.312	D
pg	28	data/figure/pg/2023-02-27--电子元件-杰普特-专注激光技术，打造多行业“隐形冠军”_page6_图表1420年近七成激光器用于材料加工和光通信领域.png	根据图中的业务占比情况，哪种业务的占比最高？	材料加工与光刻	通信与光存储	科研与军事	无法判断	A
pg	29	data/figure/pg/2023-06-24--通用设备-秦川机床-公司首次覆盖报告：自主可控核心资产，老牌机床国企焕发新貌_page24_图492022年公司谐波减速器销量位列国产前三.png	根据图中的数据，2022年公司谐波减速器销量位列国产前三的公司是哪三家？	上海纳博特斯克、住友重机、双环传动	上海纳博特斯克、住友重机、南通振康	上海纳博特斯克、住友重机、秦川机床	无法判断	A
pg	30	data/figure/pg/2023-10-13--通用设备-中核科技-核电行业景气上行，公司有望乘风而起_page6_图4公司2022年主营业务构成.png	2022年公司主营业务中，石油石化产品的市场份额占比是多少？	0.3362	28.77%	0.3404	无法判断	C
pg	31	data/figure/pg/2023-06-12--农药兽药-绿亨科技-农药+种子双驱动企业研究_page9_图表162021年全球作物用农药市场品种结构.png	如果除草剂的市场价值为220亿元，那么全球作物用农药市场的总价值是多少？	500亿元	400亿元	600亿元	无法判断	A
pg	32	data/figure/pg/2023-05-18--半导体-中芯国际-季报点评：产能利用率23Q2有望触底回升，关注23H2复苏进展_page2_图4公司22年下游应用领域结构情况.png	2022年，中芯国际下游应用领域中，智能手机的市场份额占比为多少？	0.141	35.9%	无法判断	0.27	D
pg	33	data/figure/pg/2023-12-06--汽车零部件-伯特利-首次覆盖报告：线控制动领跑者，布局底盘一体化打开成长空间_page15_图242022年中国盘式制动器市场份额情况.png	根据图中的市场份额情况，哪个公司的市场份额最高？	大陆集团	日立安斯泰莫	采埃孚	无法判断	A
pg	34	data/figure/pg/2023-02-17--小金属-中国稀土-公司深度报告：中国稀土：整合开启，掌控提升_page12_图142022年离子型稀土开采控制指标折REO吨.png	2022年离子型稀土开采控制指标折REO吨中，中国稀土集团的占比是多少？	14.10%	17.96%	67.94%	无法判断	C
pg	35	data/figure/pg/2023-07-07--贵金属-紫金矿业-资源布局加速，矿业龙头稳固_page14_图表242021年我国铜下游消费结构.png	如果电力行业的铜消费量减少5个百分点，其新份额是多少？	41%	36%	46%	无法判断	A
lc	36	data/figure/lc/2023-07-23--东吴证券-宏观点评：美国房地产：软着陆到底是不是伪命题？_page1_图4加息导致房地产供过于求.png	住宅完工至销售月数中位数在哪个时间段内显著上升？	1985-1989	1994-1999	2004-2008	无法判断	C
hg	37	data/figure/hg/2023-04-03--平安证券-国内宏观周报：地产高频指标显著改善_page8_图表36本周蔬菜水果及猪肉批发价下跌鸡蛋价格上涨.png	哪一周猪肉批发价的环比下降幅度最大？	3月10日	3月17日	3月24日	无法判断	B
lc	38	data/figure/lc/2023-05-28--国联证券-全球货币体系的大变局：去美元化、债务困境和黄金石油的机会_page13_图表19外国持有美国国债的情况亿美元.png	图中同比变化金额的最大峰值出现在哪个时间段？	2015/9/1	2017/9/1	2019/9/1	无法判断	C
lc	39	data/figure/lc/2024-02-02--国金证券-12月财政数据点评：基建类财政支出强度继续提升_page2_图表12023年12月广义财政支出继续加力.png	在哪个时间段，广义财政支出增速达到最高点？	2020-12至2021-03	2021-06至2021-09	2022-03至2022-06	无法判断	A
lc	40	data/figure/lc/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page37_no_caption.png	图中哪条曲线在2023年Q1的增长率最高？	平均每小时薪资同比	雇佣成本指数同比	亚特兰大联储薪资增长指数	无法判断	C
lc	41	data/figure/lc/2023-11-06--联储证券-9月经济数据解读：固定资产稳健增长，增量政策蓄力待发_page12_no_caption.png	哪个行业在2022年1月至2022年3月期间增长最快？	交通运输、仓储和邮政业	道路运输业	铁路运输业	无法判断	A
lc	42	data/figure/lc/2024-01-25--海通国际-全球能源转型：越南新能源深度探究；越南绿色革命的机遇_page29_图81尿素价格开始企稳.png	图中哪一年中东粒状现货价格首次超过750美元/吨？	2020年	2021年	2022年	无法判断	B
lc	43	data/figure/lc/2023-08-09--信达证券-暨出口份额分析框架：出口的短期机会与长期挑战_page18_no_caption.png	哪一年美国零售商销售额的同比增长率波动最大？	2014	2016	无法判断	2020	D
lc	44	data/figure/lc/2023-06-07--中泰证券-宏观经济周刊：国内地产销售趋缓，海外加息预期再升温_page12_图表27主要经济体制造业PMI.png	欧元区制造业PMI在2021年的最高点出现在哪个月份？	2021-11-01 00:00:00	2021/7	无法判断	2021-05-01 00:00:00	D
lc	45	data/figure/lc/2024-05-16--东吴证券-宏观点评：美国4月通胀如何影响降息演绎_page3_图5住房通胀韧性十足.png	图中标准普尔/CS房价指数环比在2022年哪一季度降至最低点？	第一季度	第二季度	第三季度	无法判断	C
lc	46	data/figure/lc/2024-03-07--中国银河-对美出口转正拉动外贸超预期_page2_图21月亚洲产业链国家出口大幅改善.png	在2024年2月，哪个国家的出口增速下降幅度最大？	韩国	日本	无法判断	越南	D
lc	47	data/figure/lc/2024-09-19--开源证券-9月FOMC会议点评：50bp降息开局，但后续降息节奏不确定性提升_page5_图3美国非制造业PMI在荣枯线上.png	哪一年美国ISM非制造业PMI达到最高点？	2018	2020	2021	无法判断	C
lc	48	data/figure/lc/2024-02-22--中国银河-宏观专题报告：美国库存回升，中国出口转正_page0_图出口是工业企业利润的决定性因素.png	在哪个年份，出口年度同比增速达到最低点？	2009	2015	2020	无法判断	A
lc	49	data/figure/lc/2023-09-24--中邮证券-高频数据看9月：消费回暖优于房地产，新兴产业持续回升_page11_图表24PTA开工率.png	哪一年的PTA开工率在9月达到最高点？	2021	2022	2023	无法判断	C
lc	50	data/figure/lc/2023-10-24--华宝证券-金融产品行业生态报告：暗潮汹涌下积蓄的力量_page13_图122023H1各风格基金指数走势.png	图中哪一种风格基金指数在2023年6月30日的值最低？	小盘成长	中盘成长	大盘成长	无法判断	B
