type	index	image_path	md_path	question	A	B	C	D	answer
sdt	11	data/figure/sdt/2024-09-10--半导体-长电科技-国内龙头平台型封测厂，全球化多品类布局优势显著_page21_图表44可比公司估值比较.jpg	data/markdown/2024-09-10--半导体-长电科技-国内龙头平台型封测厂，全球化多品类布局优势显著_page21_图表44可比公司估值比较.md	根据图表，哪一家公司的2023年预期EPS与实际EPS的差值最大？	通富微电*	华天科技*	晶方科技*	甬矽电子*	D
sdt	12	data/figure/sdt/2024-09-10--半导体-长电科技-国内龙头平台型封测厂，全球化多品类布局优势显著_page20_图表43公司分mathcalF游领域营收拆分亿元.jpg	data/markdown/2024-09-10--半导体-长电科技-国内龙头平台型封测厂，全球化多品类布局优势显著_page20_图表43公司分mathcalF游领域营收拆分亿元.md	根据图表，2023年消费电子领域的收入为74.75亿元，比2022年下降了多少？	0.244	0.252	0.268	0.283	A
sdt	13	data/figure/sdt/2024-09-02--食品饮料-良品铺子-经营调整期，降价导致利润端承压_page1_表1分业务收入及毛利率.jpg	data/markdown/2024-09-02--食品饮料-良品铺子-经营调整期，降价导致利润端承压_page1_表1分业务收入及毛利率.md	根据表格数据，2023年直营业务的毛利率为45.8%，而2026年的预计毛利率为44.5%。请问直营业务2026年的毛利率相比2023年下降了多少百分点？	1.3个百分点	1.5个百分点	2.0个百分点	2.3个百分点	A
sdt	14	data/figure/sdt/2024-09-01--证券-华泰证券-2024年中报点评：资管业务表现亮眼，自营业务边际改善_page1_表1华泰证券盈利预测单位百万元.jpg	data/markdown/2024-09-01--证券-华泰证券-2024年中报点评：资管业务表现亮眼，自营业务边际改善_page1_表1华泰证券盈利预测单位百万元.md	如果以2021年为基准，2023年归属于母公司股东净资产的复合年增长率是多少？	0.1499	0.1123	0.0849	0.0584	C
sdt	15	data/figure/sdt/2024-08-26--酿酒行业-珠江啤酒-量价齐升趋势延续，1H24实现高质量增长_page1_图表1珠江啤酒2024年半年报业绩.jpg	data/markdown/2024-08-26--酿酒行业-珠江啤酒-量价齐升趋势延续，1H24实现高质量增长_page1_图表1珠江啤酒2024年半年报业绩.md	珠江啤酒2024年上半年的营业利润率为20.2%，比2023年上半年提高了多少个百分点？	0.041	0.051	0.061	0.071	A
sdt	16	data/figure/sdt/2024-08-25--银行-齐鲁银行-详解齐鲁银行2024年半年报：业绩稳健；稳步扩表；资产质量优化_page7_图表8齐鲁银行比年初新增贷款占比.jpg	data/markdown/2024-08-25--银行-齐鲁银行-详解齐鲁银行2024年半年报：业绩稳健；稳步扩表；资产质量优化_page7_图表8齐鲁银行比年初新增贷款占比.md	从2019年到2024年上半年，个人按揭贷款占比下降了多少个百分点？	0.135	0.165	0.185	0.205	A
sdt	17	data/figure/sdt/2024-08-23--银行-兴业银行-详解兴业银行2024半年报：净息差保持稳定，净利润增速实现由负转正_page5_图表7兴业银行资产负债增速和结构占比.jpg	data/markdown/2024-08-23--银行-兴业银行-详解兴业银行2024半年报：净息差保持稳定，净利润增速实现由负转正_page5_图表7兴业银行资产负债增速和结构占比.md	从2023年第二季度到2024年第二季度，兴业银行的同业负债占比变化了多少个百分点？	-0.013	-0.015	-0.017	-0.019	A
sdt	18	data/figure/sdt/2024-08-23--银行-兴业银行-详解兴业银行2024半年报：净息差保持稳定，净利润增速实现由负转正_page6_图表10兴业银行存款结构.jpg	data/markdown/2024-08-23--银行-兴业银行-详解兴业银行2024半年报：净息差保持稳定，净利润增速实现由负转正_page6_图表10兴业银行存款结构.md	从2023年第二季度到2024年第二季度，兴业银行的企业存款占比变化了多少个百分点？	-0.065	-0.055	-0.045	-0.075	A
sdt	19	data/figure/sdt/2024-08-23--电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page23_表13TSN网络总线在接口通信速率通信方式等方面优于FC网络总线.jpg	data/markdown/2024-08-23--电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page23_表13TSN网络总线在接口通信速率通信方式等方面优于FC网络总线.md	在丢包特性方面，TSN网络总线与FC网络总线相比，哪个具有更好的误码率指标？	TSN网络总线	FC网络总线	两者相同	无法确定	C
sdt	20	data/figure/sdt/2024-08-22--银行-常熟银行-详解常熟银行2024年半年报：净利润同比+19.6%，业绩高增韧性强_page5_图表8常熟银行生息资产和计息负债增速和结构情况.jpg	data/markdown/2024-08-22--银行-常熟银行-详解常熟银行2024年半年报：净利润同比+19.6%，业绩高增韧性强_page5_图表8常熟银行生息资产和计息负债增速和结构情况.md	比较2023年第二季度和2024年第二季度的同业负债占比变化，哪个季度更高？	2Q23	2Q24	相同	无法确定	B
sdt	21	data/figure/sdt/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page26_图表国内TDI供需平衡表.jpg	data/markdown/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page26_图表国内TDI供需平衡表.md	2020年与2021年相比，国内TDI出口量增加了多少万吨？	11.4	12.4	13.4	14.4	A
sdt	22	data/figure/sdt/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page4_图表国内TDI供需平衡表.jpg	data/markdown/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page4_图表国内TDI供需平衡表.md	2022年与2021年相比，国内TDI出口量增加了多少万吨？	6.4	5.4	4.4	3.4	A
sdt	23	data/figure/sdt/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page61_图表中国大陆PC产能截至2023年底.jpg	data/markdown/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page61_图表中国大陆PC产能截至2023年底.md	根据图表，万华化学的现有产能为48万吨，占国内市场份额的14%，请问其在国内市场的排名是多少？	第一	第二	第三	第四	C
sdt	24	data/figure/sdt/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page63_图表预计国内PC行业开工率有望回升.jpg	data/markdown/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page63_图表预计国内PC行业开工率有望回升.md	根据图表，2023年名义产能为343万吨，如果2024年名义产能增长率为5%，2024年的名义产能是多少？	360万吨	361万吨	362万吨	363万吨	A
sdt	25	data/figure/sdt/2024-08-15--化学制药-科伦药业-三发驱动，发展驶入快车道_page9_图表12大输液品种按包装分类.jpg	data/markdown/2024-08-15--化学制药-科伦药业-三发驱动，发展驶入快车道_page9_图表12大输液品种按包装分类.md	如果一家公司需要选择一种包装形式，以确保最低的污染风险和最高的安全性，应选择哪种包装形式？	玻璃瓶	塑瓶	软袋	直立式软袋	D
sdt	26	data/figure/sdt/2024-08-13--电子元件-东山精密-AI催化消费电子加速增长，汽车业务再添成长动力_page10_图表18公司业绩拆分预测表.jpg	data/markdown/2024-08-13--电子元件-东山精密-AI催化消费电子加速增长，汽车业务再添成长动力_page10_图表18公司业绩拆分预测表.md	如果2024年电子电路产品的收入预计为24912.96百万，相比2023年的增长率是多少？	0.071	7.10百万	-0.071	-7.10百万	A
sdt	27	data/figure/sdt/2024-08-11--煤炭行业-上海能源-主业高成长将落地，绿能转型持续深化_page6_图表9上海能源20132023年自产煤吨煤毛利及成本测算表.jpg	data/markdown/2024-08-11--煤炭行业-上海能源-主业高成长将落地，绿能转型持续深化_page6_图表9上海能源20132023年自产煤吨煤毛利及成本测算表.md	根据图表，2019年自产煤吨煤销售毛利率比2018年下降了多少百分点？	0.076	0.096	0.107	0.122	B
sdt	28	data/figure/sdt/2024-08-09--电源设备-盛弘股份-充电桩板块较快增长，海外储能需求修复可期_page1_图表1半年度业绩摘要.jpg	data/markdown/2024-08-09--电源设备-盛弘股份-充电桩板块较快增长，海外储能需求修复可期_page1_图表1半年度业绩摘要.md	如果2024年1-6月的营业收入为1,430.77百万人民币，且同比增长率为29.84%，那么2023年1-6月的营业收入是多少？	1,011.99百万	1,101.99百万	1,201.99百万	1,301.99百万	B
sdt	29	data/figure/sdt/2024-08-11--电子元件-景旺电子-产品布局多元，全球化战略势能逐步释放_page44_表2景旺电子业务收入预测百万元.jpg	data/markdown/2024-08-11--电子元件-景旺电子-产品布局多元，全球化战略势能逐步释放_page44_表2景旺电子业务收入预测百万元.md	如果2024E的营业收入为12,450.98百万元，且同比增长率为15.74%，那么2023年的营业收入是多少？	10,757.30百万元	10,757.30百万元	10,757.30百万元	10,757.30百万元	A
sdt	30	data/figure/sdt/2024-08-07--旅游酒店-众信旅游-2024H1业绩预告点评报告：出境游板块业绩释放显著，盈利能力有望持续提升_page2_表可比公司估值情况.jpg	data/markdown/2024-08-07--旅游酒店-众信旅游-2024H1业绩预告点评报告：出境游板块业绩释放显著，盈利能力有望持续提升_page2_表可比公司估值情况.md	如果以2023年的每股收益（EPS）为基准，哪一家公司的股价被高估了？	中青旅	岭南控股	丽江股份	众信旅游	D
sdt	31	data/figure/sdt/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page3_数据来源市值风云.jpg	data/markdown/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page3_数据来源市值风云.md	如果昆药集团2023年国外业务收入为1.2亿元，且毛利率为33.3%，那么其毛利润大约是多少？	0.4亿元	0.6亿元	0.8亿元	1.0亿元	A
sdt	32	data/figure/sdt/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page6_no_caption.jpg	data/markdown/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page6_no_caption.md	如果抗疟类产品的营业收入增长率为-18.03%，那么其营业收入比上一年减少了多少？	17544929.46	18544929.46	19544929.46	20544929.46	A
sdt	33	data/figure/sdt/2024-08-02--航天航空-中无人机-大型固定翼长航时无人机系统领军企业，国内外业务双轮驱动_page7_表3可比公司PE预测Wind一致预期数据截止日期20240801.jpg	data/markdown/2024-08-02--航天航空-中无人机-大型固定翼长航时无人机系统领军企业，国内外业务双轮驱动_page7_表3可比公司PE预测Wind一致预期数据截止日期20240801.md	根据2024年8月1日的数据，中直股份的股价为41.99元，市值为344.27亿元，其2024E的EPS为0.83元，请计算其2024E的PE倍数。	50.88	40.96	33.9	31.47	A
sdt	34	data/figure/sdt/2024-07-31--航空机场-上海机场-2024H1公司利润同比大幅增长，回购+激励彰显信心_page2_附一合幷損益表.jpg	data/markdown/2024-07-31--航空机场-上海机场-2024H1公司利润同比大幅增长，回购+激励彰显信心_page2_附一合幷損益表.md	假设2024年的财务费用保持不变，2024年上海机场的净利润预计为多少百万元？	1829	2634	315	1388	A
sdt	35	data/figure/sdt/2024-07-30--美容护理-百亚股份-公司深度研究：立足大单品策略，电商渠道加速弯道超车_page25_图622017年与2023年女性卫生用品成人失禁用品与婴儿卫生用品CR10品牌及市占率.jpg	data/markdown/2024-07-30--美容护理-百亚股份-公司深度研究：立足大单品策略，电商渠道加速弯道超车_page25_图622017年与2023年女性卫生用品成人失禁用品与婴儿卫生用品CR10品牌及市占率.md	婴儿卫生用品市场中，2017年帮宝适的市场份额为20.3%，2023年为16.2%，而好奇品牌的市场份额从13.9%增长到14.8%，请问好奇品牌在这段时间内的市场份额增长率是多少？	0.065	0.058	0.061	0.055	A
sdt	36	data/figure/sdt/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page28_图表57公司收入与毛利预测.jpg	data/markdown/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page28_图表57公司收入与毛利预测.md	根据表格数据，2024年储能逆变器收入预计为多少亿元？	44	56.25	73.5	88.27	A
sdt	37	data/figure/sdt/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page25_图表7420242026年公司主要业务业绩测算.jpg	data/markdown/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page25_图表7420242026年公司主要业务业绩测算.md	根据图表，航空速运业务在2023年的收入为91.2亿元，比2022年下降了多少百分比？	-0.314	-0.256	-0.287	-0.351	A
sdt	38	data/figure/sdt/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page11_图表2720242026年中国北美欧洲全货机运力供给预测.jpg	data/markdown/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page11_图表2720242026年中国北美欧洲全货机运力供给预测.md	2025年西欧出口货运航班周班次的同比增长率与2024年相比，变化了多少个百分点？	0	0.01	0.02	0.03	A
sdt	39	data/figure/sdt/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page14_图表342024年跨境四小龙货量测算.jpg	data/markdown/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page14_图表342024年跨境四小龙货量测算.md	如果2024年空运货物占比为90%的平台中，哪个平台的空运货量最大？	Temu	Shein	Tiktok Shop	速卖通	B
sdt	40	data/figure/sdt/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page23_表国产与进口胃镜结肠镜多中心研究入组情况.jpg	data/markdown/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page23_表国产与进口胃镜结肠镜多中心研究入组情况.md	根据表格数据，北京友谊医院的胃镜检查和治疗总次数占所有医院胃镜检查和治疗总次数的比例是多少？	0.1	0.2	0.3	0.4	B
sdt	41	data/figure/sdt/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page55_表公司盈利预测假设条件.jpg	data/markdown/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page55_表公司盈利预测假设条件.md	假设2024年营业收入为100亿元，根据管理费用/营业收入比例计算，2024年管理费用约为多少亿元？	19.08亿元	20.08亿元	21.08亿元	22.08亿元	A
sdt	42	data/figure/sdt/2024-07-16--电子元件-伊戈尔-变压器出海领军企业，新能源及数据中心双轮驱动_page20_图表39与同业相比公司海外占比较高.jpg	data/markdown/2024-07-16--电子元件-伊戈尔-变压器出海领军企业，新能源及数据中心双轮驱动_page20_图表39与同业相比公司海外占比较高.md	金盘科技的变压器业务占比为61.38%，如果其2023年的总营业收入为66.68亿元，那么其变压器业务的营业收入大约是多少？	40.80亿元	41.00亿元	40.60亿元	40.50亿元	A
sdt	43	data/figure/sdt/2024-07-16--工程机械-五新隧装-深度报告：隧道钻爆法设备小巨人，铁公路水利矿山领域齐发力_page20_no_caption.jpg	data/markdown/2024-07-16--工程机械-五新隧装-深度报告：隧道钻爆法设备小巨人，铁公路水利矿山领域齐发力_page20_no_caption.md	拱架安装车在2023年的毛利润为2,080万元，如果2024年的毛利润增长了50%，那么2024年的毛利润将是多少？	3,120万元	3,000万元	3,500万元	4,000万元	A
sdt	44	data/figure/sdt/2024-07-15--医疗器械-英科医疗-手套防护领军企业，成本优势铸就价值_page8_图表13英科医疗在国内主要手套厂商中收入规模及毛利率领先.jpg	data/markdown/2024-07-15--医疗器械-英科医疗-手套防护领军企业，成本优势铸就价值_page8_图表13英科医疗在国内主要手套厂商中收入规模及毛利率领先.md	根据图表，英科医疗在2021年的收入规模为158.1亿元，而蓝帆医疗的收入规模为73.5亿元。请问英科医疗的收入规模是蓝帆医疗的多少倍？	2.15倍	2.25倍	2.10倍	2.20倍	A
sdt	45	data/figure/sdt/2024-07-14--电子化学品-金宏气体-公司深度报告：综合气体服务商，打造电子大宗现场制气新增长极_page27_表18金宏气体相较于可比公司20242026年具备估值提升空间.jpg	data/markdown/2024-07-14--电子化学品-金宏气体-公司深度报告：综合气体服务商，打造电子大宗现场制气新增长极_page27_表18金宏气体相较于可比公司20242026年具备估值提升空间.md	金宏气体在2024年至2026年的预测归母净利润增长率分别是多少？请选出正确的选项。	20%、25%、20%	25%、20%、25%	20%、20%、25%	25%、25%、20%	A
sdt	46	data/figure/sdt/2024-07-09--医疗器械-微电生理-电生理领域国产龙头，高端产品迎来放量期_page22_图表42北京DRG集采部分电生理产品谈判降幅及获量比例情况.jpg	data/markdown/2024-07-09--医疗器械-微电生理-电生理领域国产龙头，高端产品迎来放量期_page22_图表42北京DRG集采部分电生理产品谈判降幅及获量比例情况.md	根据图表，磁定位环形诊断导管-固定直径的基准价为17617元，入门降幅30%，达标降幅50%，请问达标后的价格是多少？	8808.5元	5855.5元	10570元	12311.9元	B
sdt	47	data/figure/sdt/2024-07-08--生物制品-凯因科技-丙肝新药快速放量，乙肝在研新药进展可期_page17_表7派益生慢性乙肝适应症的销售预测.jpg	data/markdown/2024-07-08--生物制品-凯因科技-丙肝新药快速放量，乙肝在研新药进展可期_page17_表7派益生慢性乙肝适应症的销售预测.md	从2024年到2030年，慢性乙型肝炎患者人数保持不变，但治疗率逐年上升。2026年的治疗率比2024年提高了多少个百分点？	0.02	0.03	0.04	0.05	A
sdt	48	data/figure/sdt/2024-07-05--计算机设备-诺瓦星云-受益于MLED及超高清趋势，出海带来增长alpha_page30_表15公司分业务收入预测单位百万元.jpg	data/markdown/2024-07-05--计算机设备-诺瓦星云-受益于MLED及超高清趋势，出海带来增长alpha_page30_表15公司分业务收入预测单位百万元.md	多媒体信息发布系统收入在2025年的预计值与2024年相比，增长了多少百分比？	0.2	0.5434	0.1665	0.5526	A
sdt	49	data/figure/sdt/2024-06-30--文化传媒-万达电影-深度报告：重整旗鼓，三大战略蓄势待发_page49_no_caption.jpg	data/markdown/2024-06-30--文化传媒-万达电影-深度报告：重整旗鼓，三大战略蓄势待发_page49_no_caption.md	如果2023年的摊薄每股收益为0.42元，那么2026年的摊薄每股收益增长了多少倍？	1.5倍	1.8倍	2.0倍	2.2倍	C
sdt	50	data/figure/sdt/2024-06-28--半导体-卓胜微-公司深度报告：十年磨剑成就射频龙头，自主可控构建强大内核_page39_表13可比公司估值对比.jpg	data/markdown/2024-06-28--半导体-卓胜微-公司深度报告：十年磨剑成就射频龙头，自主可控构建强大内核_page39_表13可比公司估值对比.md	比较卓胜微与可比公司均值的2024年EPS，卓胜微的EPS是可比公司均值的多少倍？	2.65倍	2.60倍	2.55倍	2.70倍	A
sdt	51	data/figure/sdt/2024-06-27--贵金属-银泰黄金-战略规划确立增长蓝图，全球化布局蓄势待发_page13_图表19TwinHills金矿储量为6686吨.jpg	data/markdown/2024-06-27--贵金属-银泰黄金-战略规划确立增长蓝图，全球化布局蓄势待发_page13_图表19TwinHills金矿储量为6686吨.md	根据图表，如果将证实储量和概略储量的金含量相加，结果为多少百万盎司？	2.15	2.18	2.2	2.25	A
sdt	52	data/figure/sdt/2024-06-26--化学制药-梓橦宫-北交所首次覆盖报告：“中华老字号”焕新篇，神经系统新药步入收获期注入活力_page18_表112022年梓橦宫市占率为1524.jpg	data/markdown/2024-06-26--化学制药-梓橦宫-北交所首次覆盖报告：“中华老字号”焕新篇，神经系统新药步入收获期注入活力_page18_表112022年梓橦宫市占率为1524.md	根据表格数据，2022年胞磷胆碱钠胶囊的市场占有率比2021年下降了多少百分点？	3.82	4.82	5.82	6.82	A
sdt	53	data/figure/sdt/2024-06-25--中药-白云山-公司深度报告：华南医药消费龙头稳健增长，盈利能力持续优化_page15_表1大健康板块同行企业估值对比.jpg	data/markdown/2024-06-25--中药-白云山-公司深度报告：华南医药消费龙头稳健增长，盈利能力持续优化_page15_表1大健康板块同行企业估值对比.md	如果以2023年的市盈率（PE）为基准，哪家公司相对于可比公司平均PE的折价幅度最大？	承德露露	养元饮品	伊利股份	李子园	A
sdt	54	data/figure/sdt/2024-06-25--中药-白云山-公司深度报告：华南医药消费龙头稳健增长，盈利能力持续优化_page15_表2大健康板块盈利预测及估值.jpg	data/markdown/2024-06-25--中药-白云山-公司深度报告：华南医药消费龙头稳健增长，盈利能力持续优化_page15_表2大健康板块盈利预测及估值.md	根据表格数据，2023年大健康板块的毛利率为44.41%，如果2024年的毛利率保持不变，且营业成本为66.04亿元，那么2024年的大健康收入应为多少？	120.07亿元	125.00亿元	130.00亿元	135.00亿元	A
sdt	55	data/figure/sdt/2024-06-24--中药-葵花药业-品牌构筑核心壁垒，“六五”规划开启百亿目标_page15_表52021年妇科消炎药TOP20格局城市实体药店中成药.jpg	data/markdown/2024-06-24--中药-葵花药业-品牌构筑核心壁垒，“六五”规划开启百亿目标_page15_表52021年妇科消炎药TOP20格局城市实体药店中成药.md	假设某公司计划在2022年推出一款新的妇科消炎药，目标是进入TOP20榜单，其销售额至少需要达到多少万元才能实现这一目标？	2350	2700	3291	3638	B
sdt	56	data/figure/sdt/2024-06-24--中药-葵花药业-品牌构筑核心壁垒，“六五”规划开启百亿目标_page17_表62021年肝病用药TOP20格局城市实体药店中成药.jpg	data/markdown/2024-06-24--中药-葵花药业-品牌构筑核心壁垒，“六五”规划开启百亿目标_page17_表62021年肝病用药TOP20格局城市实体药店中成药.md	假设某产品销售额增长了10%，且其初始销售额为表中第10位的产品销售额，那么其新的销售额是多少？	2664.2万元	2666.2万元	2668.2万元	2670.2万元	A
sdt	57	data/figure/sdt/2024-06-23--汽车零部件-北特科技-深耕汽车底盘业务多年，打开人形机器人新成长曲线_page14_图表26公司盈利预测.jpg	data/markdown/2024-06-23--汽车零部件-北特科技-深耕汽车底盘业务多年，打开人形机器人新成长曲线_page14_图表26公司盈利预测.md	根据图表，2024年空调压缩机业务的收入预计为442.22百万元，比2023年下降了1.60%，请问2023年的收入是多少？	450.00百万元	449.41百万元	455.00百万元	445.00百万元	B
sdt	58	data/figure/sdt/2024-06-23--汽车零部件-北特科技-深耕汽车底盘业务多年，打开人形机器人新成长曲线_page15_图表27可比公司估值情况.jpg	data/markdown/2024-06-23--汽车零部件-北特科技-深耕汽车底盘业务多年，打开人形机器人新成长曲线_page15_图表27可比公司估值情况.md	如果贝斯特在2026年的归母净利润为5.40亿元，其2026E的PE值为14.54，那么其市值大约是多少？	78.5亿	81.2亿	79.8亿	80.5亿	A
sdt	59	data/figure/sdt/2024-06-20--汽车整车-比亚迪-比亚迪深度研究系列2：复盘丰田成功有迹可循，海外拓展星辰大海可期_page20_图表23海外市场自主品牌销量单位万辆及市占率假设仅作参考.jpg	data/markdown/2024-06-20--汽车整车-比亚迪-比亚迪深度研究系列2：复盘丰田成功有迹可循，海外拓展星辰大海可期_page20_图表23海外市场自主品牌销量单位万辆及市占率假设仅作参考.md	从2018年到2024年，哪个市场的自主品牌销量增长最快？	东南亚	澳洲&新西兰	南美	中东&非洲市场	B
