type	index	image	round	question	A	B	C	D	answer
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	6	哪家公司2023年的每股收益（EPS）最高？	莱茵生物	贵州三力	天士力	方盛制药	C
fs	7	data/figure/fs/石油行业-广汇能源-2024年中报点评：白石湖和马朗煤矿新增产量，将有效带来高盈利弹性_page2_附表公司盈利预测表.jpg,data/figure/fs/石油行业-中国海油-2024中报点评：净利润和产量创历史同期新高，现金流持续健康，高成长性值得期待_page2_附表公司盈利预测表.jpg	1	根据广汇能源和中国海油的资产负债表，哪一年的流动资产总额最高？	2024E	2023A	2022A	2026E	D
fs	7	data/figure/fs/石油行业-广汇能源-2024年中报点评：白石湖和马朗煤矿新增产量，将有效带来高盈利弹性_page2_附表公司盈利预测表.jpg,data/figure/fs/石油行业-中国海油-2024中报点评：净利润和产量创历史同期新高，现金流持续健康，高成长性值得期待_page2_附表公司盈利预测表.jpg	2	在广汇能源和中国海油中，哪一年的总营业利润最高？	2024E	2023A	2022A	2026E	D
fs	7	data/figure/fs/石油行业-广汇能源-2024年中报点评：白石湖和马朗煤矿新增产量，将有效带来高盈利弹性_page2_附表公司盈利预测表.jpg,data/figure/fs/石油行业-中国海油-2024中报点评：净利润和产量创历史同期新高，现金流持续健康，高成长性值得期待_page2_附表公司盈利预测表.jpg	3	根据广汇能源和中国海油的利润表，哪家公司的平均净利润率最高？	广汇能源	中国海油	都一样	无法判断	B
fs	7	data/figure/fs/石油行业-广汇能源-2024年中报点评：白石湖和马朗煤矿新增产量，将有效带来高盈利弹性_page2_附表公司盈利预测表.jpg,data/figure/fs/石油行业-中国海油-2024中报点评：净利润和产量创历史同期新高，现金流持续健康，高成长性值得期待_page2_附表公司盈利预测表.jpg	4	结合广汇能源和中国海油的主要财务比率，哪家公司的平均ROE（净资产收益率）最高？	广汇能源	中国海油	都一样	无法判断	B
fs	8	data/figure/fs/文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg,data/figure/fs/文化传媒-凤凰传媒-公司动态研究：核心主业增长稳健，出版分部毛利率提升_page2_附表凤凰传媒盈利预测表.jpg,data/figure/fs/文化传媒-南方传媒-2024年中报点评：核心业务稳健运营，Q2收入同比转增_page1_财务预测表.jpg,data/figure/fs/文化传媒-上海电影-公司信息更新报告：大IP开发业务增长亮眼，IP商业化变现加速_page1_附财务预测摘要.jpg	1	根据2023年的资产负债表和利润表，以下哪项是正确的？	流动资产占总资产的比例为48.5%	固定资产占总资产的比例为27.9%	负债总额为1,136亿元	所有者权益总额为3,286亿元	D
fs	9	data/figure/fs/消费电子-立讯精密-拟并购莱尼拓展全球化的产能和客户资源，汽车业务有望加速成长_page1_财务预测摘要.jpg,data/figure/fs/消费电子-歌尔股份-事件点评：拟分拆歌尔微赴港上市，AI时代零整协同再添重磅砝码_page1_歌尔股份三大财务预测表.jpg,data/figure/fs/消费电子-歌尔股份-拟分拆歌尔微港股上市，聚焦资源协同发展_page1_盈利预测表.jpg,data/figure/fs/消费电子-安克创新-公司信息更新报告：2023Q2业绩高增，长期看好持续推新驱动业绩增长_page6_附财务预测摘要.jpg	1	根据资产负债表和利润表，2023年安克创新公司的流动资产总额是多少？	8829百万	7374百万	6009百万	7148百万	D
fs	9	data/figure/fs/消费电子-立讯精密-拟并购莱尼拓展全球化的产能和客户资源，汽车业务有望加速成长_page1_财务预测摘要.jpg,data/figure/fs/消费电子-歌尔股份-事件点评：拟分拆歌尔微赴港上市，AI时代零整协同再添重磅砝码_page1_歌尔股份三大财务预测表.jpg,data/figure/fs/消费电子-歌尔股份-拟分拆歌尔微港股上市，聚焦资源协同发展_page1_盈利预测表.jpg,data/figure/fs/消费电子-安克创新-公司信息更新报告：2023Q2业绩高增，长期看好持续推新驱动业绩增长_page6_附财务预测摘要.jpg	2	根据资产负债表和利润表，2023年立讯精密公司的流动负债总额是多少？	74591.54百万	40041百万	33703百万	14969.2 百万	A
fs	9	data/figure/fs/消费电子-立讯精密-拟并购莱尼拓展全球化的产能和客户资源，汽车业务有望加速成长_page1_财务预测摘要.jpg,data/figure/fs/消费电子-歌尔股份-事件点评：拟分拆歌尔微赴港上市，AI时代零整协同再添重磅砝码_page1_歌尔股份三大财务预测表.jpg,data/figure/fs/消费电子-歌尔股份-拟分拆歌尔微港股上市，聚焦资源协同发展_page1_盈利预测表.jpg,data/figure/fs/消费电子-安克创新-公司信息更新报告：2023Q2业绩高增，长期看好持续推新驱动业绩增长_page6_附财务预测摘要.jpg	3	根据资产负债表和利润表，2023年歌尔股份公司的总资产为多少？	73744百万	161992百万	1483百万	161992百万	A
fs	10	data/figure/fs/橡胶制品-赛轮轮胎-业绩亮眼持续，全球化布局助力未来成长_page2_财务报表预测和估值数据汇总.jpg,data/figure/fs/橡胶制品-川环科技-Q2业绩环比回升，客户结构持续转型_page1_附表财务预测与估值.jpg	1	根据资产负债表和利润表，2023年赛轮轮胎公司的流动资产总额是多少？	15534	18985	22526	27566	A
fs	10	data/figure/fs/橡胶制品-赛轮轮胎-业绩亮眼持续，全球化布局助力未来成长_page2_财务报表预测和估值数据汇总.jpg,data/figure/fs/橡胶制品-川环科技-Q2业绩环比回升，客户结构持续转型_page1_附表财务预测与估值.jpg	2	根据资产负债表和利润表，2023年赛轮轮胎公司的非流动资产总额是多少？	18192	20226	23223	26746	A
fs	10	data/figure/fs/橡胶制品-赛轮轮胎-业绩亮眼持续，全球化布局助力未来成长_page2_财务报表预测和估值数据汇总.jpg,data/figure/fs/橡胶制品-川环科技-Q2业绩环比回升，客户结构持续转型_page1_附表财务预测与估值.jpg	3	根据资产负债表和利润表，2023年赛轮轮胎公司的总资产是多少？	33726	39211	45747	54312	A
fs	10	data/figure/fs/橡胶制品-赛轮轮胎-业绩亮眼持续，全球化布局助力未来成长_page2_财务报表预测和估值数据汇总.jpg,data/figure/fs/橡胶制品-川环科技-Q2业绩环比回升，客户结构持续转型_page1_附表财务预测与估值.jpg	4	根据资产负债表和利润表，2023年赛轮轮胎公司的负债合计是多少？	18287	19528	21237	24048	A
fs	10	data/figure/fs/橡胶制品-赛轮轮胎-业绩亮眼持续，全球化布局助力未来成长_page2_财务报表预测和估值数据汇总.jpg,data/figure/fs/橡胶制品-川环科技-Q2业绩环比回升，客户结构持续转型_page1_附表财务预测与估值.jpg	5	根据资产负债表和利润表，2023年赛轮轮胎公司的每股收益是多少？	0.94	1.31	1.52	1.78	A
fs	11	data/figure/fs/小金属-宝钛股份-钛材龙头引领行业发展，需求蓬勃驱动未来增长_page20_宝钛股份三大财务预测表.jpg,data/figure/fs/小金属-锡业股份-打造全球精锡龙头_page22_no_caption.jpg	1	根据宝钛股份和锡业股份的资产负债表，哪一年的流动资产总额最高？	2023A	2024E	2025E	2026E	D
fs	11	data/figure/fs/小金属-宝钛股份-钛材龙头引领行业发展，需求蓬勃驱动未来增长_page20_宝钛股份三大财务预测表.jpg,data/figure/fs/小金属-锡业股份-打造全球精锡龙头_page22_no_caption.jpg	2	在宝钛股份和锡业股份中，哪一年的营业总收入最高？	2023A	2024E	2025E	2026E	D
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	1	根据资产负债表和利润表，2023年中航机载的流动资产合计为多少？	55470.08	21746.83	28084.67	31048.36	A
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	2	根据资产负债表和利润表，2023年中航机载的非流动资产合计为多少？	5027.51	5995.79	10794.72	1079.56	B
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	3	根据资产负债表和利润表，2023年中航机载的总资产为多少？	21084.67	73523.42	31048.36	35048.36	B
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	4	根据资产负债表和利润表，2023年中航机载的股东权益合计为多少？	10794.72	12646.55	12654.09	37694.96	D
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	5	根据资产负债表和利润表，2023年中航机载的负债和股东权益总计为多少？	28084.67	21084.67	73523.42	35048.36	C
fs	12	data/figure/fs/航天航空-航宇科技-内生增长与外延扩张并重，研发投入转化成果丰硕_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航重机-大锻件产能即将落地，民品迎来新增长点_page1_财务预测摘要.jpg,data/figure/fs/航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg	6	根据资产负债表和利润表，2023年中航机载的流动负债合计为多少？	27427.05	21084.67	73523.42	35048.36	A
fs	13	data/figure/fs/房地产开发-新城控股-商业运营支撑业绩，债务疏解预期渐强_page1_财务预测摘要.jpg,data/figure/fs/房地产开发-万科A-当期业绩亏损，追求现金确保经营安全_page1_no_caption.jpg	1	根据万科A的资产负债表，哪一年的总资产最高？	2021	2024E	2025E	2026E	A
fs	13	data/figure/fs/房地产开发-新城控股-商业运营支撑业绩，债务疏解预期渐强_page1_财务预测摘要.jpg,data/figure/fs/房地产开发-万科A-当期业绩亏损，追求现金确保经营安全_page1_no_caption.jpg	2	根据万科A的资产负债表，哪一年的净利润率最高？	2021	2024E	2025E	2026E	A
fs	13	data/figure/fs/房地产开发-新城控股-商业运营支撑业绩，债务疏解预期渐强_page1_财务预测摘要.jpg,data/figure/fs/房地产开发-万科A-当期业绩亏损，追求现金确保经营安全_page1_no_caption.jpg	3	根据新城控股的资产负债表，哪一年的ROE最高？	2022	2024E	2025E	2026E	A
fs	13	data/figure/fs/房地产开发-新城控股-商业运营支撑业绩，债务疏解预期渐强_page1_财务预测摘要.jpg,data/figure/fs/房地产开发-万科A-当期业绩亏损，追求现金确保经营安全_page1_no_caption.jpg	4	根据新城控股的资产负债表，哪一年的每股收益最高？	2022	2024E	2025E	2026E	A
fs	13	data/figure/fs/房地产开发-新城控股-商业运营支撑业绩，债务疏解预期渐强_page1_财务预测摘要.jpg,data/figure/fs/房地产开发-万科A-当期业绩亏损，追求现金确保经营安全_page1_no_caption.jpg	5	根据新城控股的资产负债表，哪一年的市盈率最低？	2023	2024E	2025E	2026E	A
fs	14	data/figure/fs/银行-民生银行-利润拐点初显，息差有望企稳_page6_财务预测摘要.jpg,data/figure/fs/银行-中国银行-营收边际改善，息差企稳，质量稳健_page6_财务预测摘要.jpg,data/figure/fs/银行-齐鲁银行-详解齐鲁银行2024年半年报：业绩稳健；稳步扩表；资产质量优化_page12_图表16齐鲁银行盈利预测表.jpg,data/figure/fs/银行-江苏银行-2024年半年报点评：以量补价，不良压力略有提升_page1_财务预测与估值.jpg	1	根据民生银行的利润表，2023年的净利润为多少？	407	403	405	409	A
fs	14	data/figure/fs/银行-民生银行-利润拐点初显，息差有望企稳_page6_财务预测摘要.jpg,data/figure/fs/银行-中国银行-营收边际改善，息差企稳，质量稳健_page6_财务预测摘要.jpg,data/figure/fs/银行-齐鲁银行-详解齐鲁银行2024年半年报：业绩稳健；稳步扩表；资产质量优化_page12_图表16齐鲁银行盈利预测表.jpg,data/figure/fs/银行-江苏银行-2024年半年报点评：以量补价，不良压力略有提升_page1_财务预测与估值.jpg	2	根据中国银行的利润表，2023年的净利润为多少？	2,274	2,319	2,414	2,589	B
fs	14	data/figure/fs/银行-民生银行-利润拐点初显，息差有望企稳_page6_财务预测摘要.jpg,data/figure/fs/银行-中国银行-营收边际改善，息差企稳，质量稳健_page6_财务预测摘要.jpg,data/figure/fs/银行-齐鲁银行-详解齐鲁银行2024年半年报：业绩稳健；稳步扩表；资产质量优化_page12_图表16齐鲁银行盈利预测表.jpg,data/figure/fs/银行-江苏银行-2024年半年报点评：以量补价，不良压力略有提升_page1_财务预测与估值.jpg	3	对比民生银行和中国银行的净利润，哪一家银行的净利润更高？	民生银行	中国银行	无法确定	无答案	B
