index	image	information	round	question	answer
3	data/figure/L3Q3_4/图片3.jpg	某上市公司高级工程师王先生，2022 年度取得个人收入项目如下：（1）扣除“三险一金”后的每月工资 9800 元，每月的专项附加扣除为 1000 元。（2）从 1 月 1 日起出租两居室住房用于居住，扣除相关税费后的每月租金所得 6000 元，全年共计 72000元。（3）2 月 8 日对 2020 年 1 月公司授予的股票期权 30000 股行权，每股施权价 8 元，行权当日该股票的收盘价位 15 元。（4）10 月 26 日通过拍卖市场拍卖祖传字画一幅，拍卖收入 56000 元，不能提供字画原值凭据。（5）11 月因实名举报某企业的污染行为获得当地环保部门奖励 20000 元，同时因其参与的一项技术发明获得国家科技进步二等奖，分得奖金 50000 元。	4	计算拍卖字画收入应缴纳的个人所得税	1680
4	data/figure/L3Q3_4/图片4.jpg	李某是甲企业的中层管理人员，2019 年发生了以下经济行为：（1）1 月 1 李某与企业解除劳动合同，取得企业给付的一次性补偿收入 106 000 元。（2）1 月 1 日当天李某开办招待所登记为个体工商户。李某每月从经营收入中支取工资 6 000 元。当年招待所实现经营利润 85 000 元（已扣除李某每月的工资）。（3）3 月李某将承租的一套住房转租给他人居住。李某承租的住房租金为每月 2 000 元（有房屋租赁合同和合法支付凭据），其转租的租金收入为每月 3 000 元。（4）4 月李某应邀为乙培训机构授课，按照合同规定，共计授课 4 次，每次课酬 6 000 元，培训机构已按规定支付了课酬。其他相关资料：不考虑专项扣除、专项附加扣除和依法确定的其他扣除。当地上年职工平均工资为 36 000 元。	1	计算李某经营招待所应纳的个人所得税。	20900
4	data/figure/L3Q3_4/图片4.jpg	李某是甲企业的中层管理人员，2019 年发生了以下经济行为：（1）1 月 1 李某与企业解除劳动合同，取得企业给付的一次性补偿收入 106 000 元。（2）1 月 1 日当天李某开办招待所登记为个体工商户。李某每月从经营收入中支取工资 6 000 元。当年招待所实现经营利润 85 000 元（已扣除李某每月的工资）。（3）3 月李某将承租的一套住房转租给他人居住。李某承租的住房租金为每月 2 000 元（有房屋租赁合同和合法支付凭据），其转租的租金收入为每月 3 000 元。（4）4 月李某应邀为乙培训机构授课，按照合同规定，共计授课 4 次，每次课酬 6 000 元，培训机构已按规定支付了课酬。其他相关资料：不考虑专项扣除、专项附加扣除和依法确定的其他扣除。当地上年职工平均工资为 36 000 元。	2	计算李某取得的课酬支付方应预扣预缴的个人所得税。	3840
4	data/figure/L3Q3_4/图片4.jpg	李某是甲企业的中层管理人员，2019 年发生了以下经济行为：（1）1 月 1 李某与企业解除劳动合同，取得企业给付的一次性补偿收入 106 000 元。（2）1 月 1 日当天李某开办招待所登记为个体工商户。李某每月从经营收入中支取工资 6 000 元。当年招待所实现经营利润 85 000 元（已扣除李某每月的工资）。（3）3 月李某将承租的一套住房转租给他人居住。李某承租的住房租金为每月 2 000 元（有房屋租赁合同和合法支付凭据），其转租的租金收入为每月 3 000 元。（4）4 月李某应邀为乙培训机构授课，按照合同规定，共计授课 4 次，每次课酬 6 000 元，培训机构已按规定支付了课酬。其他相关资料：不考虑专项扣除、专项附加扣除和依法确定的其他扣除。当地上年职工平均工资为 36 000 元。	3	计算李某在办理 2019 年综合所得汇算清缴时应退的税额。	3840
5	data/figure/L3Q3_4/图片5.jpg,data/figure/L3Q3_4/图片6.jpg	居民个人张某为独生子女，父母均已年满 65 周岁，其独生子就读于某小学。2019 年张某收人及部分支出如下：（1）每月从单位领取扣除社保费用和住房公积金后的工资 10 000 元，截至 11 月底累计已预扣预缴个人所得税款 330 元。（2）取得年终奖 60 000 元，选择单独计税。（3）利用业余时间为某公司设计图纸取得劳务报酬 20000 元。（4）每月按首套住房贷款利率偿还房贷 5 000 元。（其他相关资料：以上专项附加扣除均由张某 100%扣除。）	1	计算 12 月工资应预扣预缴的个人所得税额。	30
5	data/figure/L3Q3_4/图片5.jpg,data/figure/L3Q3_4/图片6.jpg	居民个人张某为独生子女，父母均已年满 65 周岁，其独生子就读于某小学。2019 年张某收人及部分支出如下：（1）每月从单位领取扣除社保费用和住房公积金后的工资 10 000 元，截至 11 月底累计已预扣预缴个人所得税款 330 元。（2）取得年终奖 60 000 元，选择单独计税。（3）利用业余时间为某公司设计图纸取得劳务报酬 20000 元。（4）每月按首套住房贷款利率偿还房贷 5 000 元。（其他相关资料：以上专项附加扣除均由张某 100%扣除。）	2	计算 2019 年综合所得应缴纳的个人所得税额。	840
5	data/figure/L3Q3_4/图片5.jpg,data/figure/L3Q3_4/图片6.jpg	居民个人张某为独生子女，父母均已年满 65 周岁，其独生子就读于某小学。2019 年张某收人及部分支出如下：（1）每月从单位领取扣除社保费用和住房公积金后的工资 10 000 元，截至 11 月底累计已预扣预缴个人所得税款 330 元。（2）取得年终奖 60 000 元，选择单独计税。（3）利用业余时间为某公司设计图纸取得劳务报酬 20000 元。（4）每月按首套住房贷款利率偿还房贷 5 000 元。（其他相关资料：以上专项附加扣除均由张某 100%扣除。）	3	计算张某就 2019 年综合所得向主管税务机关办理汇算清缴时，申请的应退税额。	2720
6	data/figure/L3Q3_4/图片7.jpg,data/figure/L3Q3_4/图片8.jpg	中国居民企业甲为一家外商投资企业，其母公司乙公司为一家位于境外某国的外国企业，2022年部分相关业务如下：（1）甲公司派遣中国籍雇员李某到境外乙公司工作，期间的工资由乙公司支付并负担，李某在我国境内有住所，其2022年度在境外工作期间取得的工资所得折合人民币为150万元，在境外已缴纳个人所得税折合人民币40万元，在境内无其他收入。（2）乙公司派遣1名外籍基层技术人员到甲公司兼职工作，其2022年7月1日首次来华，在中国境内无住所。2022年度在中国居住天数不超过90天，7-12月期间每月境内甲公司向其发放工资4万元人民币，境外乙公司向其发放工资折合人民币7万元。每月境内工作天数与境外工作天数的比例为1:2。（其他相关资料：不考虑李某及外籍技术人员在境内缴纳社保以及专项附加扣除因素，李某在境外缴纳税款取得完税凭证，不考虑常设机构因素）	1	计算业务（1）李某取得的境外收入在中国境内应缴纳的个人所得税。	66080
6	data/figure/L3Q3_4/图片7.jpg,data/figure/L3Q3_4/图片8.jpg	中国居民企业甲为一家外商投资企业，其母公司乙公司为一家位于境外某国的外国企业，2022年部分相关业务如下：（1）甲公司派遣中国籍雇员李某到境外乙公司工作，期间的工资由乙公司支付并负担，李某在我国境内有住所，其2022年度在境外工作期间取得的工资所得折合人民币为150万元，在境外已缴纳个人所得税折合人民币40万元，在境内无其他收入。（2）乙公司派遣1名外籍基层技术人员到甲公司兼职工作，其2022年7月1日首次来华，在中国境内无住所。2022年度在中国居住天数不超过90天，7-12月期间每月境内甲公司向其发放工资4万元人民币，境外乙公司向其发放工资折合人民币7万元。每月境内工作天数与境外工作天数的比例为1:2。（其他相关资料：不考虑李某及外籍技术人员在境内缴纳社保以及专项附加扣除因素，李某在境外缴纳税款取得完税凭证，不考虑常设机构因素）	2	计算业务（2）外籍基层技术人员2022年度7-12月每月在中国境内的应税工资薪金收入额，以及其2022年度在中国境内应缴纳的个人所得税。	3740
7	data/figure/L3Q3_4/图片9.jpg	甲公司是一家制造业企业，信用级别为 A 级，目前没有上市的债券，为投资新产品项目，公司拟通过发行面值 1000 元的 5 年期债券进行筹资，公司采用风险调整法估计拟发行债券的税前债务资本成本，并以此确定该债券的票面利率。20×2 年 7 月 1 日，本公司发行该债券，该债券每年 6 月 30 日付息一次，20×7 年 6 月 30 日到期，发行当天等风险投资市场报酬率为 10%。	1	计算 20×2 年 1 月 1 日，A 级公司债券的平均信用风险补偿率，并确定甲公司拟发行债券的票面利率。	0.08
7	data/figure/L3Q3_4/图片9.jpg	甲公司是一家制造业企业，信用级别为 A 级，目前没有上市的债券，为投资新产品项目，公司拟通过发行面值 1000 元的 5 年期债券进行筹资，公司采用风险调整法估计拟发行债券的税前债务资本成本，并以此确定该债券的票面利率。20×2 年 7 月 1 日，本公司发行该债券，该债券每年 6 月 30 日付息一次，20×7 年 6 月 30 日到期，发行当天等风险投资市场报酬率为 10%。	2	计算 20×2 年 7 月 1 日，甲公司债券的发行价格。已知：（P/A，10%，5）＝3.7908，（P/F，10%，5）＝0.6209	924.16
7	data/figure/L3Q3_4/图片9.jpg	甲公司是一家制造业企业，信用级别为 A 级，目前没有上市的债券，为投资新产品项目，公司拟通过发行面值 1000 元的 5 年期债券进行筹资，公司采用风险调整法估计拟发行债券的税前债务资本成本，并以此确定该债券的票面利率。20×2 年 7 月 1 日，本公司发行该债券，该债券每年 6 月 30 日付息一次，20×7 年 6 月 30 日到期，发行当天等风险投资市场报酬率为 10%。	3	20×4 年 7 月 1 日，A 投资人在二级市场上以 970 元的价格购买了甲公司债券，并计划持有至到期。投资当天等风险投资市场报酬率为 9%，计算 A 投资人的到期收益率，并据此判断该债券价格是否合理。已知：（P/A，10%，3）＝2.4869，（P/F，10%，3）＝0.7513，（P/A，9%，3）＝2.5313，（P/F，9%，3）＝0.7722	是
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	1	计算直接人工的工资率差异	5000
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	2	计算直接人工的人工效率差异。	-19000
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	3	计算固定制造费用的耗费差异。	8000
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	4	计算固定制造费用的效率差异。	20000
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	5	计算产品成本差异总额。	22000
8	data/figure/L3Q3_4/图片10.jpg,data/figure/L3Q3_4/图片11.jpg	甲公司是一家制造业企业，只生产和销售防滑瓷砖一种产品。产品生产工艺流程比较成熟，生产工人技术操作比较熟练，生产组织管理水平较高，公司实行标准成本制度，定期进行标准成本差异分析。甲公司生产能力 6000 平方米/月，2016 年 9 月实际生产 5000 平方米。	6	计算产品单位成本差异。	4.4
9	data/figure/L3Q3_4/图片12.jpg,data/figure/L3Q3_4/图片13.jpg,data/figure/L3Q3_4/图片14.jpg	甲公司是一家制造业企业，只生产和销售一种新型保温容器。产品直接消耗的材料分为主要材料和辅助材料。各月在产品结存数量较多，波动较大，公司在分配当月完工产品与月末在产品的成本时，对直接材料采用约当产量法（加权平均法），对直接人工和制造费用采用定额比例法。2016 年 6 月有关成本核算、定额资料如图；主要材料在生产开始时一次性全部投入，辅助材料陆续均衡投入，月末在产品平均完工程度 60%。	1	按约当产量法计算本月完工产品的辅助材料费用。	35000
9	data/figure/L3Q3_4/图片12.jpg,data/figure/L3Q3_4/图片13.jpg,data/figure/L3Q3_4/图片14.jpg	甲公司是一家制造业企业，只生产和销售一种新型保温容器。产品直接消耗的材料分为主要材料和辅助材料。各月在产品结存数量较多，波动较大，公司在分配当月完工产品与月末在产品的成本时，对直接材料采用约当产量法（加权平均法），对直接人工和制造费用采用定额比例法。2016 年 6 月有关成本核算、定额资料如图；主要材料在生产开始时一次性全部投入，辅助材料陆续均衡投入，月末在产品平均完工程度 60%。	2	按定额机器工时比例计算月末在产品的制造费用。	1600
9	data/figure/L3Q3_4/图片12.jpg,data/figure/L3Q3_4/图片13.jpg,data/figure/L3Q3_4/图片14.jpg	甲公司是一家制造业企业，只生产和销售一种新型保温容器。产品直接消耗的材料分为主要材料和辅助材料。各月在产品结存数量较多，波动较大，公司在分配当月完工产品与月末在产品的成本时，对直接材料采用约当产量法（加权平均法），对直接人工和制造费用采用定额比例法。2016 年 6 月有关成本核算、定额资料如图；主要材料在生产开始时一次性全部投入，辅助材料陆续均衡投入，月末在产品平均完工程度 60%。	3	计算本月完工产品总成本。	675500 
9	data/figure/L3Q3_4/图片12.jpg,data/figure/L3Q3_4/图片13.jpg,data/figure/L3Q3_4/图片14.jpg	甲公司是一家制造业企业，只生产和销售一种新型保温容器。产品直接消耗的材料分为主要材料和辅助材料。各月在产品结存数量较多，波动较大，公司在分配当月完工产品与月末在产品的成本时，对直接材料采用约当产量法（加权平均法），对直接人工和制造费用采用定额比例法。2016 年 6 月有关成本核算、定额资料如图；主要材料在生产开始时一次性全部投入，辅助材料陆续均衡投入，月末在产品平均完工程度 60%。	4	计算本月完工产品单位成本。	193
10	data/figure/L3Q3_4/图片15.jpg	甲企业使用同种原料生产联产品 A 和 B，采用平行结转分步法计算产品成本。产品生产分为两个步骤，第一步骤对原料进行预处理后，直接转移到第二步骤进行深加工，生产出 A、B 两种产品。原料只在第一步骤生产开工时一次性投放，两个步骤的直接人工和制造费用随加工进度陆续发生。第一步骤和第二步骤均采用约当产量法在产成品和在产品之间分配成本，月末留存在本步骤的实物在产品的完工程度分别为60%和 50%。联产品成本按照可变现净值法进行分配，其中：A 产品可直接出售，售价为 8.58 元/千克；B 产品需继续加工，加工成本为 0.336 元/千克，售价为 7.2 元/千克。A、B 两种产品的产量比例为 6：5。2017 年 9 月相关成本核算资料如图；	1	计算第一步骤直接材料的本月生产成本	313800
10	data/figure/L3Q3_4/图片16.jpg	甲企业使用同种原料生产联产品 A 和 B，采用平行结转分步法计算产品成本。产品生产分为两个步骤，第一步骤对原料进行预处理后，直接转移到第二步骤进行深加工，生产出 A、B 两种产品。原料只在第一步骤生产开工时一次性投放，两个步骤的直接人工和制造费用随加工进度陆续发生。第一步骤和第二步骤均采用约当产量法在产成品和在产品之间分配成本，月末留存在本步骤的实物在产品的完工程度分别为60%和 50%。联产品成本按照可变现净值法进行分配，其中：A 产品可直接出售，售价为 8.58 元/千克；B 产品需继续加工，加工成本为 0.336 元/千克，售价为 7.2 元/千克。A、B 两种产品的产量比例为 6：5。2017 年 9 月相关成本核算资料如图；	2	计算第二步骤制造费用的本月生产成本	88900
10	data/figure/L3Q3_4/图片17.jpg	甲企业使用同种原料生产联产品 A 和 B，采用平行结转分步法计算产品成本。产品生产分为两个步骤，第一步骤对原料进行预处理后，直接转移到第二步骤进行深加工，生产出 A、B 两种产品。原料只在第一步骤生产开工时一次性投放，两个步骤的直接人工和制造费用随加工进度陆续发生。第一步骤和第二步骤均采用约当产量法在产成品和在产品之间分配成本，月末留存在本步骤的实物在产品的完工程度分别为60%和 50%。联产品成本按照可变现净值法进行分配，其中：A 产品可直接出售，售价为 8.58 元/千克；B 产品需继续加工，加工成本为 0.336 元/千克，售价为 7.2 元/千克。A、B 两种产品的产量比例为 6：5。2017 年 9 月相关成本核算资料如图；	3	计算第二步骤合计的本月生产成本	168800
11	data/figure/L3Q3_4/图片18.jpg	甲公司是一家上市公司，目前股票每股市价为 40 元，未来 9 个月内不派发现金股利。市场上有 A、B、C 三种以甲公司股票为标的资产的看涨期权，每份看涨期权可买入 1 股股票。假设 A、B、C 三种期权目前市场价格均等于利用风险中性原理计算的期权价值。乙投资者构建的期权组合相关资料如图所示，6 个月无风险利率为 3%。假设不考虑相关税费的影响。	1	假设 6 个月后股价有两种可能，上升 25%或下降 20%，利用风险中性原理，计算期权A目前的期权价值。	12.82
11	data/figure/L3Q3_4/图片18.jpg	甲公司是一家上市公司，目前股票每股市价为 40 元，未来 9 个月内不派发现金股利。市场上有 A、B、C 三种以甲公司股票为标的资产的看涨期权，每份看涨期权可买入 1 股股票。假设 A、B、C 三种期权目前市场价格均等于利用风险中性原理计算的期权价值。乙投资者构建的期权组合相关资料如图所示，6 个月无风险利率为 3%。假设不考虑相关税费的影响。	2	假设同（1），计算股价下跌时，该期权组合的净损益（不考虑货币时间价值的影响）。	10500
11	data/figure/L3Q3_4/图片18.jpg	甲公司是一家上市公司，目前股票每股市价为 40 元，未来 9 个月内不派发现金股利。市场上有 A、B、C 三种以甲公司股票为标的资产的看涨期权，每份看涨期权可买入 1 股股票。假设 A、B、C 三种期权目前市场价格均等于利用风险中性原理计算的期权价值。乙投资者构建的期权组合相关资料如图所示，6 个月无风险利率为 3%。假设不考虑相关税费的影响。	3	假设同（1），计算股价上涨时，该期权组合的净损益（不考虑货币时间价值的影响）。	-9500
11	data/figure/L3Q3_4/图片18.jpg	甲公司是一家上市公司，目前股票每股市价为 40 元，未来 9 个月内不派发现金股利。市场上有 A、B、C 三种以甲公司股票为标的资产的看涨期权，每份看涨期权可买入 1 股股票。假设 A、B、C 三种期权目前市场价格均等于利用风险中性原理计算的期权价值。乙投资者构建的期权组合相关资料如图所示，6 个月无风险利率为 3%。假设不考虑相关税费的影响。	4	假设 9 个月后股价处于（28，50）之间，计算该期权组合到期日价值的最大值。	55000
12	data/figure/L3Q3_4/图片19.jpg	甲公司是一家艺术培训公司。2023年收费标准为每次课1000元，每次课2小时，艺术中心按照教师授课资历和水平发放工资，每小时薪酬100-200元，平均薪酬标准每小时150元，艺术中心免费提供画纸和颜料，平均耗材标准每小时15元，艺术中心月固定成本90000元，2023年7月预计有800学习人次，实际有840学习人次。有关资料如表所示（金额单位：元）：	1	计算教师薪酬成本工资率差异	5040
12	data/figure/L3Q3_4/图片19.jpg	甲公司是一家艺术培训公司。2023年收费标准为每次课1000元，每次课2小时，艺术中心按照教师授课资历和水平发放工资，每小时薪酬100-200元，平均薪酬标准每小时150元，艺术中心免费提供画纸和颜料，平均耗材标准每小时15元，艺术中心月固定成本90000元，2023年7月预计有800学习人次，实际有840学习人次。有关资料如表所示（金额单位：元）：	2	计算材料成本价格差异	-3360
12	data/figure/L3Q3_4/图片19.jpg	甲公司是一家艺术培训公司。2023年收费标准为每次课1000元，每次课2小时，艺术中心按照教师授课资历和水平发放工资，每小时薪酬100-200元，平均薪酬标准每小时150元，艺术中心免费提供画纸和颜料，平均耗材标准每小时15元，艺术中心月固定成本90000元，2023年7月预计有800学习人次，实际有840学习人次。有关资料如表所示（金额单位：元）：	3	计算收入的实际结果	823200 
12	data/figure/L3Q3_4/图片19.jpg	甲公司是一家艺术培训公司。2023年收费标准为每次课1000元，每次课2小时，艺术中心按照教师授课资历和水平发放工资，每小时薪酬100-200元，平均薪酬标准每小时150元，艺术中心免费提供画纸和颜料，平均耗材标准每小时15元，艺术中心月固定成本90000元，2023年7月预计有800学习人次，实际有840学习人次。有关资料如表所示（金额单位：元）：	4	分别计算收入的弹性预算	840000
