fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融策略优化	pg	130964	data/figure/pg/2024-01-03--电子化学品-上海新阳-公司首次覆盖报告：晶圆及先进封装材料国内领先，高端光刻胶进展顺利_page19_图442022年中国半导体光刻胶需求结构较为集中.jpg					根据饼图，如果将紫外负胶和+G线的市场份额合并，其占比将接近多少？	5%	6%	10%	16%	D
金融策略优化	pg	130987	data/figure/pg/2023-01-09--中药-康缘药业-独家产品借政策红利有望快速增长_page12_图表212021年中国医疗机构数量占比.jpg					如果将占比额低于5%的医疗机构合并为一类，新类别的市场占有率包括以下哪些部分？	三级医院	二级医院	一级医院	社区卫生服务中心	A;B;C;D
金融策略优化	pg	130989	data/figure/pg/2023-10-04--酿酒行业-今世缘-深度报告：乘势而起，百亿新征程_page7_图15江苏省内白酒竞争格局2022年.jpg					如果将占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	古井贡酒	郎酒	迎驾贡酒	剑南春	A;B;C;D
金融策略优化	pg	130995	data/figure/pg/2023-10-11--食品饮料-安井食品-首次覆盖：速冻龙头稳经营，预制菜肴助增长_page5_图10中国速冻食品细分品类占比情况.jpg					如果将速冻火锅料食品和速冻其他食品的市场份额合并，以下哪些选项是正确的？	合并后的市场份额超过50%	合并后的市场份额等于速冻米面食品的市场份额	合并后的市场份额小于速冻米面食品的市场份额	合并后的市场份额与速冻米面食品的市场份额相同	A;C
金融策略优化	sdt	131552	data/figure/sdt/2024-08-14--有色金属-天山铝业-公司首次覆盖报告：区位优势突出的一体化铝企，稀缺成长价值凸显_page14_表5天山铝业业绩对电解铝和氧化铝价格变化的敏感性分析.jpg					如果氧化铝价格从3400.00元/吨上升到3600.00元/吨，归母净利润增加最多的铝价区间是哪个？	1.90-1.92万元/吨	1.92-1.94万元/吨	1.94-1.95万元/吨	1.95-1.96万元/吨	D
金融策略优化	sdt	131716	data/figure/sdt/2024-05-07--化学制品-聚胶股份-卫材热熔胶全球破局者，海外扩张稳步推进_page28_表9假设主要原材料价格以5的幅度变动下公司毛利率敏感性分析.jpg					假设矿物油/石油树脂价格为1.06，毛利率为28%，如果原材料价格上涨至1.10，毛利率将下降多少百分点？	4%	5%	6%	7%	B
金融策略优化	sdt	310014	data/figure/sdt/2024-09-01--证券-华泰证券-2024年中报点评：资管业务表现亮眼，自营业务边际改善_page1_表1华泰证券盈利预测单位百万元.jpg	data/markdown/2024-09-01--证券-华泰证券-2024年中报点评：资管业务表现亮眼，自营业务边际改善_page1_表1华泰证券盈利预测单位百万元.md				如果以2021年为基准，2023年归属于母公司股东净资产的复合年增长率是多少？	0.1499	0.1123	0.0849	0.0584	C
金融策略优化	sdt	310024	data/figure/sdt/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page63_图表预计国内PC行业开工率有望回升.jpg	data/markdown/2024-08-20--化学制品-万华化学-系列深度之五：深度报告：聚氨酯优势加强，新材料接力成长_page63_图表预计国内PC行业开工率有望回升.md				根据图表，2023年名义产能为343万吨，如果2024年名义产能增长率为5%，2024年的名义产能是多少？	360万吨	361万吨	362万吨	363万吨	A
金融策略优化	sdt	310025	data/figure/sdt/2024-08-15--化学制药-科伦药业-三发驱动，发展驶入快车道_page9_图表12大输液品种按包装分类.jpg	data/markdown/2024-08-15--化学制药-科伦药业-三发驱动，发展驶入快车道_page9_图表12大输液品种按包装分类.md				如果一家公司需要选择一种包装形式，以确保最低的污染风险和最高的安全性，应选择哪种包装形式？	玻璃瓶	塑瓶	软袋	直立式软袋	D
金融策略优化	sdt	310026	data/figure/sdt/2024-08-13--电子元件-东山精密-AI催化消费电子加速增长，汽车业务再添成长动力_page10_图表18公司业绩拆分预测表.jpg	data/markdown/2024-08-13--电子元件-东山精密-AI催化消费电子加速增长，汽车业务再添成长动力_page10_图表18公司业绩拆分预测表.md				如果2024年电子电路产品的收入预计为24912.96百万，相比2023年的增长率是多少？	0.071	7.10百万	-0.071	-7.10百万	A
金融策略优化	sdt	310028	data/figure/sdt/2024-08-09--电源设备-盛弘股份-充电桩板块较快增长，海外储能需求修复可期_page1_图表1半年度业绩摘要.jpg	data/markdown/2024-08-09--电源设备-盛弘股份-充电桩板块较快增长，海外储能需求修复可期_page1_图表1半年度业绩摘要.md				如果2024年1-6月的营业收入为1,430.77百万人民币，且同比增长率为29.84%，那么2023年1-6月的营业收入是多少？	1,011.99百万	1,101.99百万	1,201.99百万	1,301.99百万	B
金融策略优化	sdt	310029	data/figure/sdt/2024-08-11--电子元件-景旺电子-产品布局多元，全球化战略势能逐步释放_page44_表2景旺电子业务收入预测百万元.jpg	data/markdown/2024-08-11--电子元件-景旺电子-产品布局多元，全球化战略势能逐步释放_page44_表2景旺电子业务收入预测百万元.md				如果2024E的营业收入为12,450.98百万元，且同比增长率为15.74%，那么2023年的营业收入是多少？	10,757.30百万元	10,757.30百万元	10,757.30百万元	10,757.30百万元	A
金融策略优化	sdt	310030	data/figure/sdt/2024-08-07--旅游酒店-众信旅游-2024H1业绩预告点评报告：出境游板块业绩释放显著，盈利能力有望持续提升_page2_表可比公司估值情况.jpg	data/markdown/2024-08-07--旅游酒店-众信旅游-2024H1业绩预告点评报告：出境游板块业绩释放显著，盈利能力有望持续提升_page2_表可比公司估值情况.md				如果以2023年的每股收益（EPS）为基准，哪一家公司的股价被高估了？	中青旅	岭南控股	丽江股份	众信旅游	D
金融策略优化	sdt	310031	data/figure/sdt/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page3_数据来源市值风云.jpg	data/markdown/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page3_数据来源市值风云.md				如果昆药集团2023年国外业务收入为1.2亿元，且毛利率为33.3%，那么其毛利润大约是多少？	0.4亿元	0.6亿元	0.8亿元	1.0亿元	A
金融策略优化	sdt	310032	data/figure/sdt/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page6_no_caption.jpg	data/markdown/2024-08-06--中药-昆药集团-原来中药企业可以创新，也可以国际化！六百年老字号昆药集团，华润入主，要干成银发健康第一股_page6_no_caption.md				如果抗疟类产品的营业收入增长率为-18.03%，那么其营业收入比上一年减少了多少？	17544929.46	18544929.46	19544929.46	20544929.46	A
金融策略优化	sdt	310039	data/figure/sdt/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page14_图表342024年跨境四小龙货量测算.jpg	data/markdown/2024-07-24--物流行业-东航物流-电商出海东风助力，航空物流龙头起飞_page14_图表342024年跨境四小龙货量测算.md				如果2024年空运货物占比为90%的平台中，哪个平台的空运货量最大？	Temu	Shein	Tiktok Shop	速卖通	B
金融策略优化	sdt	310083	data/figure/sdt/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page19_图表272024年5月我国醋酸生产企业产能情况.jpg	data/markdown/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page19_图表272024年5月我国醋酸生产企业产能情况.md				如果广西华谊和塞拉尼斯的产能分别增加10万吨，那么它们的产能占比将变为多少？	0.11	0.12	0.13	0.14	A
金融策略优化	sdt	310088	data/figure/sdt/2024-05-24--食品饮料-天味食品-川调龙头产品长青，内延外拓渠道焕新_page25_表5拾翠坊销量前十大产品规格单价月销量.jpg	data/markdown/2024-05-24--食品饮料-天味食品-川调龙头产品长青，内延外拓渠道焕新_page25_表5拾翠坊销量前十大产品规格单价月销量.md				根据表中数据，手抓饼酱料和煎饼果子专用酱的价格均为18.80元/1000g，但已售数量不同。如果手抓饼酱料已售3+万件，煎饼果子专用酱已售2+万件，哪种产品的总销售额更高？	手抓饼酱料	煎饼果子专用酱	两者相同	无法确定	A
金融策略优化	sdt	310101	data/figure/sdt/2024-05-07--化学制品-聚胶股份-卫材热熔胶全球破局者，海外扩张稳步推进_page28_表9假设主要原材料价格以5的幅度变动下公司毛利率敏感性分析.jpg	data/markdown/2024-05-07--化学制品-聚胶股份-卫材热熔胶全球破局者，海外扩张稳步推进_page28_表9假设主要原材料价格以5的幅度变动下公司毛利率敏感性分析.md				假设公司当前的毛利率为25%，根据表格数据，如果矿物油/石油树脂的价格从0.95上升到1.10，毛利率将降至多少？	0.17	0.18	0.19	0.2	A
金融策略优化	sdt	310121	data/figure/sdt/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page18_表42021年PCTC船东全球格局.jpg	data/markdown/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page18_表42021年PCTC船东全球格局.md				如果将排名前三的船东现有运力（艘）相加，其总和与排名第四至第六的船东现有运力（艘）总和相比，哪个更大？	排名前三的船东总和更大	排名第四至第六的船东总和更大	两者相等	无法确定	A
金融策略优化	hg	130279	data/figure/hg/2024-03-26--东吴证券-宏观点评：美国消费者信心的“真相”_page6_图17中低收入群体边际消费倾向最高.jpg					在直方图中，哪个区间内的边际消费倾向最高？	0-20%	20%-40%	40%-60%	60%-80%	A;B
金融策略优化	frg	130528	data/figure/frg/2023-01-05--化肥行业-盐湖股份-钾锂双业务发展，未来成长可期_page24_图35公司推进战略实施.jpg					根据图片内容，以下哪些措施是公司为稳定钾资源而采取的？	实施前系统7大工程	投资70.8亿元建设4万吨/年基础锂盐项目	成立钠资源开发专班	进一步巩固卤水提锂的行业龙头地位	A
金融策略优化	pg	130693	data/figure/pg/2023-06-29--装修装饰-华凯易佰-跨境电商龙头再迎数字化腾飞_page21_图表432020年中国跨境出口电商市场竞争格局.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	亚马逊的市场份额可能下降	淘宝系的市场份额可能上升	eBay的市场份额可能保持不变	其他企业的市场份额可能增加	A;D
金融策略优化	pg	130698	data/figure/pg/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page12_no_caption.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	红牛的市场份额可能减少	东鹏特饮的市场份额可能增加	中沃的市场份额可能保持不变	乐虎的市场份额可能减少	A;D
金融策略优化	pg	130704	data/figure/pg/2023-03-26--酿酒行业-洋河股份-公司深度研究：逆势显韧性，决胜次高端，公司稳步向前_page10_图11江苏白酒市场各价格带规模占比2021年.jpg					如果江苏白酒市场总规模增长10%，但高端市场的绝对份额保持不变，以下哪些变化将发生？	高端市场份额增加	高线次高端市场份额增加	次高端市场份额增加	中高端市场份额增加	B;C;D
金融策略优化	pg	130793	data/figure/pg/2023-07-05--交运设备-春风动力-两轮+四轮齐驱，把握海内外消费新趋势_page18_图282015年全地形车市场分布.jpg					如果北美市场份额减少5%，以下哪些地区的市场份额将增加？	欧洲	日本	其他	所有地区	A;B;C
金融策略优化	pg	130795	data/figure/pg/2024-04-18--电网设备-中熔电气-国内电力熔断器龙头，海外+800V打开增长空间_page21_图29国内2019年新能源汽车用熔断器市场占有率情况.jpg					如果中熔电气的市场份额下降5个百分点，以下哪些企业的市场份额可能上升？	Bussmann	美尔森	其他品牌	所有选项都可能	D
金融策略优化	pg	130798	data/figure/pg/2024-03-16--食品饮料-东鹏饮料-东鹏展翅划出第二曲线，泛饮料品类平台踏新程_page14_图表18瓶装为RTD咖啡主要包装设计.jpg					如果瓶装RTD咖啡的市场份额增加5%，以下哪些变化将发生？	盒装市场份额减少	杯装市场份额减少	袋装市场份额减少	罐装市场份额减少	A;B;C;D
金融策略优化	pg	130815	data/figure/pg/2023-11-12--专用设备-纳科诺尔-锂电池辊压设备龙头，上市助力产能释放_page11_图表162022年辊压设备企业市占率.jpg					如果市场总份额增加10%，但纳科诺尔的绝对份额保持不变，以下哪些变化将发生？	纳科诺尔的市场份额将减少	其他企业的市场份额将增加	赢合科技的市场份额将减少	先导智能的市场份额将增加	B;D
金融策略优化	pg	130826	data/figure/pg/2023-12-12--通用设备-中大力德-精密减速器头部企业，一体化战略构筑核心优势_page16_图表27行星减速器RV减速器谐波减速器全球行业格局.jpg					如果市场总份额缩减5%，但行星减速器的绝对份额保持不变，以下哪些变化将发生？	其他企业的市场份额将减少	威腾斯坦的市场份额将增加	纽卡特的市场份额将保持不变	精锐科技的市场份额将减少	A;D
金融策略优化	pg	130827	data/figure/pg/2024-01-15--酿酒行业-金徽酒-西北区域名酒发展步入快车道_page26_图402022年金徽酒广告宣传推广占到销售费用的49.jpg					如果广告宣传推广费减少5%，以下哪些费用的占比将超过30%？	工资薪酬	折旧摊销	运输费	其他	A
金融策略优化	pg	130838	data/figure/pg/2024-01-01--互联网服务-中科创达-深度报告：乘端侧AI东风，打开新一轮成长曲线_page28_图表2023Q2国内乘用车ADAS市场L2及以上芯片市场格局.jpg					如果市场总份额增加10%，但企业“英伟达”的绝对份额保持不变，以下哪些变化将发生？	英伟达的市场份额相对减少	其他企业的市场份额相对增加	英伟达的市场份额相对增加	其他企业的市场份额相对减少	A;B
金融策略优化	pg	130841	data/figure/pg/2023-04-27--农药兽药-普莱柯-2022年年报及2023年一季报点评：下游需求回升，新品增量业绩可期_page2_图42022年公司产品结构.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	猪用疫苗的市场份额可能下降	禽用疫苗及抗体的市场份额可能下降	化药的市场份额可能上升	其他业务的市场份额可能上升	A;B
金融策略优化	pg	130842	data/figure/pg/2022-12-26--有色金属-新锐股份-公司首次覆盖报告：具备全球竞争力的矿用工具龙头，硬质合金一体化先行者_page5_图92020年原材料总成本占比约767.jpg					如果原材料成本减少5%，以下哪些成本的占比将接近28%？（假设均匀分配）	其他成本	原材料成本	总成本	无	A
金融策略优化	pg	130847	data/figure/pg/2024-01-19--中药-马应龙-肛肠品牌老字号，打造“医+药+养”结合新模式_page12_图表142021年痔疮用药市场竞争格局.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	其他企业的市场份额减少	化痔栓的市场份额增加	普济痔疮栓的市场份额减少	迈之灵片的市场份额减少	A;D
金融策略优化	pg	130854	data/figure/pg/2023-04-19--物流行业-怡亚通-自有生态建竞争壁垒，降本增效助盈利回升_page4_图32022年怡亚通营业收入构成.jpg					如果分销+营销业务的市场份额减少5%，以下哪些业务的市场份额将接近4%？（假设均匀分配）	跨境和物流服务	品牌运营	平台间关联交易	其他	A;B
金融策略优化	pg	130861	data/figure/pg/2023-12-22--旅游酒店-长白山-深度报告：内外交通优化预期提振基本面，冰雪游景气度上行打开成长空间_page30_图242021年冰雪游各地区基建投资占比.jpg					如果华中地区的基建投资占比增加5%，以下哪些地区的基建投资占比将减少？	西南地区	东北地区	西北地区	其他	B;C
金融策略优化	pg	130868	data/figure/pg/2023-12-11--电网设备-科陆电子-美的入主，发力储能_page30_no_caption.jpg					如果市场总份额增加5%，但企业“德国”的绝对份额保持不变，以下哪些变化将发生？	德国的市场份额将减少	德国的市场份额将保持不变	德国的市场份额将增加	其他企业的市场份额将增加	B;D
金融策略优化	pg	130883	data/figure/pg/2024-03-13--医药商业-九州通-医药流通领域民营龙头，创新战略落地有望迎来估值重塑_page9_no_caption.jpg					如果市场总份额缩减5%，但企业“A”的绝对份额保持不变，以下哪些变化将发生？	“B”业务的占比增加	“C”业务的占比减少	“D”业务的占比增加	“E”业务的占比减少	B;D
金融策略优化	pg	130903	data/figure/pg/2023-06-08--生物制品-凯因科技-乙肝丙肝大市场，多产品矩阵构筑护城河_page11_图13我国丙型肝炎基因型分布图.jpg					在东北地区，如果'其他型'减少21%的市场份额，以下哪些基因型的市场份额将接近40%？（假设均匀分配）	1b型	2a型	3a型	6a型	A;B
金融策略优化	pg	130915	data/figure/pg/2024-03-04--专用设备-伟创电气-变频为基伺服为径，工控新锐海外拓展_page11_图202023年中高压变频器下游分布.jpg					如果市场中新出现一家企业“Q”，其市场份额为5%，以下哪些变化可能发生？	冶金企业的市场份额减少	石化企业的市场份额减少	电力企业的市场份额减少	采矿企业的市场份额减少	A;B
金融策略优化	pg	130926	data/figure/pg/2023-09-17--软件开发-金橙子-公司首次覆盖报告：激光振镜控制系统领军企业，国产替代+新品拓展打开成长空间_page10_图15我国中低端振镜控制系统市场已基本实现国产化.jpg					如果金橙子的市场份额增加5%，以下哪些企业的市场份额可能减少？	德国Scaps	兴诚科技	大族激光	其他公司（包括盗版）	A;B;C;D
金融策略优化	pg	130935	data/figure/pg/2023-10-16--化学制品-巨化股份-公司深度报告：氟化工有望进入长期景气周期，龙头一体化优势尽显_page26_图52烧碱下游消费结构.jpg					如果氧化铝的市场份额减少5%，以下哪些业务的市场份额将接近20%？（假设均匀分配）	印染、化纤	化工	其他（石油，军工等）	造纸	A;B
金融策略优化	pg	130938	data/figure/pg/2022-11-30--食品饮料-天味食品-渠道良性稳健发展，产品品牌具备持久动能_page20_图表45经销商地区分布22Q3.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	华南地区市场份额下降	西南地区市场份额下降	华东地区市场份额下降	华中地区市场份额下降	A;B
金融策略优化	pg	130951	data/figure/pg/2023-05-31--化学原料-宿迁联盛-国内受阻胺光稳剂龙头，两大基地拓展产业链布局_page17_图表222020年全球光稳定剂销售区域分布.jpg					如果亚太地区的市场份额增加5%，以下哪些区域的市场份额可能减少？	北美	欧洲	南美	中东与非洲	B;C;D
金融策略优化	pg	130956	data/figure/pg/2023-05-26--半导体-北方华创-半导体设备平台型公司，受益国产替代加速_page23_no_caption.jpg					如果北方华创的市场份额增加5%，以下哪些企业的市场份额将减少？	TEL	屹唐半导体	其他	AMAT	A;B;C
金融策略优化	pg	130962	data/figure/pg/2023-01-30--装修建材-欧派家居-公司深度报告：长逻辑与短博弈_page28_图47家装市场格局分散.jpg					如果市场中新出现一家企业“Q”，其市场份额为5%，以下哪些变化可能发生？	区域型家装公司的市场份额减少	连锁型装企的市场份额增加	龙头企业市场份额保持不变	游击队的市场份额减少	A;D
金融策略优化	pg	130967	data/figure/pg/2023-01-09--电子元件-方邦股份-首次覆盖：电磁屏蔽膜有望突破大客户；铜箔、FCCL多元布局打开成长空间_page14_图22复合铜箔成本构成.jpg					根据饼图，如果设备成本降低5%，以下哪些变化将发生？	其他成本占比增加	原材料成本占比不变	能耗成本占比不变	总成本减少	A;D
金融策略优化	pg	130968	data/figure/pg/2023-04-30--汽车零部件-星源卓镁-汽车压铸件行业领跑，镁合金时代即将到来_page10_图152021年我国铝矿储量分布格局.jpg					如果铝矿储量总份额增加10%，但广西的绝对份额保持不变，以下哪些变化将发生？	广西的相对份额减少	其他地区的相对份额增加	河南的相对份额减少	贵州的相对份额增加	A;B
金融策略优化	pg	130982	data/figure/pg/2023-08-02--电网设备-鑫宏业-受益于新能源高速发展的特种电缆龙头_page17_图26直流充电桩成本结构.jpg					如果充电模块的市场份额减少5%，以下哪些部分的市场份额将增加？	变压器	AFP有源滤波	无功补偿SVG电缆	电池维护设备	A;B;C
金融策略优化	pg	130993	data/figure/pg/2023-10-27--光伏设备-中来股份-三大业务驱动发展，背板龙头乘势而上_page10_图17背板在光伏组件中成本占比.jpg					如果电池成本占比减少5%，以下哪些组件的成本占比将超过10%？	铝边框	EVA	玻璃	背板	A;B
金融策略优化	pg	130997	data/figure/pg/2023-06-25--装修建材-伟星新材-公司首次覆盖报告：管材零售龙头护城河深厚，同心圆助力成长_page31_图572021年末端净水产品市占率为bf664.jpg					如果市场总份额缩减5%，但企业“A”的绝对份额保持不变，以下哪些变化将发生？	企业“A”的市场份额占比增加	企业“A”的市场份额占比减少	企业“A”的市场份额占比不变	无法确定	A
金融策略优化	pg	130998	data/figure/pg/2023-06-05--通用设备-海容冷链-冷柜巨头，稳健成长_page13_图表25商用冷柜下游客户对定制化的不同偏好占比.jpg					如果市场总份额缩减5%，但海容冷链的绝对份额保持不变，以下哪些变化将发生？	产品外观的市场份额将减少	智能物联的市场份额将减少	授信金融的市场份额将减少	售后服务的市场份额将减少	A;B;C;D
金融策略优化	sdt	131490	data/figure/sdt/2024-09-26--汽车整车-比亚迪-经济型车上行空间仍大，高端化任重道远_page17_图表32公司汽车相关业务营收与毛利率假设分品牌单位亿元.jpg					根据图表，2026年比亚迪（王朝+海洋）的毛利润为1453亿元，腾势的毛利润为196亿元，方程豹的毛利润为70亿元。以下哪个品牌的毛利润增长率最高？	比亚迪（王朝+海洋）	腾势	方程豹	仰望	C
金融策略优化	sdt	131491	data/figure/sdt/2024-09-24--交运设备-春风动力-中国全地形车及中大排摩托车龙头，出海、高端化引领新成长_page18_表8春风动力和北极星在单排量车型挖掘的对比.jpg					在2025年，春风动力和北极星推出的UTV车型中，哪两款车型的排量相同且座位数不同？	2025 RANGER 1000 和 2025 RANGER CREW 1000	2025 RANGER 1000 EPS 和 2025 RANGER 1000 Premium	2025 ZFORCE 950 SPORT 和 2025 ZFORCE 950 Sport 4	RZR XP 1000 Sport 和 RZR XP 4 1000 Sport	A;D
金融策略优化	sdt	131492	data/figure/sdt/2024-09-24--光伏设备-迈为股份-HJT整线设备龙头受益于行业规模扩产在即，泛半导体领域加速布局_page14_表1HJT相较其他技术路线效率更高工艺更简单.jpg					如果考虑设备投资成本和银浆耗量，哪种技术路线最具经济性？	PERC	TOPCon	HJT	HBC	A;B
金融策略优化	sdt	131493	data/figure/sdt/2024-09-24--光伏设备-迈为股份-HJT整线设备龙头受益于行业规模扩产在即，泛半导体领域加速布局_page30_图49我们测算出白银价格每涨1000元HJT应用mathbf0BB3mathbf0银包铜可多节约78厘W.jpg					当白银价格为12000元/KG时，HJT与TOPCon的成本差距中，哪种配置下的成本节约最大？	0BB+50%银包铜比较(16)	0BB+30%银包铜比较(11)	0BB纯银比较(15)	0BB成本节约(14)	A;B
金融策略优化	sdt	131499	data/figure/sdt/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page28_表22完全达产后预计新增年销售收入3882亿元净利润215亿元.jpg					假设产能释放率为80%，以下哪项产品的新增销售收入在第3年超过10亿元？	聚酯	TPU	微孔弹性体	粘合剂	A;B
